"","gene_id","chr","type","phenotype","celltype","MiXcan_snp_num","filtered_snp_num","Z_1_join","p_1_join","Z_2_join","p_2_join","p_join"
"1","ENSG00000142233.11","19","CellTypeSpecific","DA","epithelial",49,47,-3.35584357800952,0.00079123307102947,-1.04390600893488,0.296528877823152,0.00157953783502578
"2","ENSG00000149054.15","11","CellTypeSpecific","DA","epithelial",55,50,-0.345230072652755,0.729921412247079,0.169933882537686,0.865062134228872,0.817482890958918
"3","ENSG00000183779.6","8","CellTypeSpecific","DA","epithelial",38,38,-0.921294492253672,0.356896695884634,-0.936963758769826,0.348777200318748,0.352811141600278
"4","ENSG00000224397.5","20","CellTypeSpecific","DA","epithelial",56,53,-5.20150766250335,1.97678320684944e-07,-2.46678938316121,0.0136330519581701,3.95350912368148e-07
"5","ENSG00000048707.13","1","NonSpecific","DA","epithelial",42,38,-0.869556862668467,0.384542620503133,-0.869556862668467,0.384542620503133,0.384542620503133
"6","ENSG00000084676.15","2","NonSpecific","DA","epithelial",37,35,0.284653525128633,0.775909599701763,0.284653525128633,0.775909599701763,0.775909599701763
"7","ENSG00000092607.13","1","NonSpecific","DA","epithelial",34,31,0.947945185104238,0.343157360281096,0.947945185104238,0.343157360281096,0.343157360281096
"8","ENSG00000103199.13","16","NonSpecific","DA","epithelial",58,52,1.08195044672117,0.279274547302288,1.08195044672117,0.279274547302288,0.279274547302288
"9","ENSG00000110092.3","11","NonSpecific","DA","epithelial",28,26,1.41540109360666,0.156950929174057,1.41540109360666,0.156950929174057,0.156950929174057
"10","ENSG00000165269.12","9","NonSpecific","DA","epithelial",33,28,-0.798128722041303,0.424795795299424,-0.798128722041303,0.424795795299424,0.424795795299424
"11","ENSG00000166333.13","11","NonSpecific","DA","epithelial",30,30,-0.0171657650214938,0.986304373718453,-0.0171657650214938,0.986304373718453,0.986304373718453
"12","ENSG00000198914.3","2","NonSpecific","DA","epithelial",25,24,3.17994745470411,0.0014730175963806,3.17994745470411,0.0014730175963806,0.00147301759638057
"13","ENSG00000226445.1","6","NonSpecific","DA","epithelial",28,26,-2.51108133254333,0.0120361962467177,-2.51108133254333,0.0120361962467177,0.0120361962467177
"14","ENSG00000232871.8","19","NonSpecific","DA","epithelial",42,42,-6.42469707788242,1.32132374453576e-10,-6.42469707788242,1.32132374453576e-10,1.32132347066643e-10
"15","ENSG00000236036.1","13","NonSpecific","DA","epithelial",7,6,-0.951714142035313,0.341241975214411,-0.951714142035313,0.341241975214411,0.341241975214411
"16","ENSG00000257800.1","2","NonSpecific","DA","epithelial",22,21,-0.0970357569205161,0.92269799850855,-0.0970357569205161,0.92269799850855,0.92269799850855
"17","ENSG00000277147.4","1","NonSpecific","DA","epithelial",17,5,1.16698994701003,0.243214429368496,1.16698994701003,0.243214429368496,0.243214429368496
