"","gene_id","chr","type","phenotype","celltype","MiXcan_snp_num","filtered_snp_num","Z_1_join","p_1_join","Z_2_join","p_2_join","p_join"
"1","ENSG00000048707.13","1","CellTypeSpecific","NDA","fibroblast",33,29,0.810055702789154,0.417908161967287,0.426071080037629,0.67005605264523,0.551720955544083
"2","ENSG00000092607.13","1","CellTypeSpecific","NDA","fibroblast",33,30,-0.176624977682127,0.85980297318359,-0.0742772766874978,0.940789757652822,0.916360383713061
"3","ENSG00000110092.3","11","CellTypeSpecific","NDA","fibroblast",44,42,-1.04801823729786,0.294630204493999,-0.845777081120254,0.397677113261712,0.34169923069237
"4","ENSG00000142233.11","19","CellTypeSpecific","NDA","fibroblast",55,55,0.153800502696276,0.877767037459013,-0.363408390528916,0.716299834879114,0.825822962655847
"5","ENSG00000159164.9","1","CellTypeSpecific","NDA","fibroblast",20,10,0.708302151178097,0.47875764151098,1.13490201841999,0.256416374141912,0.348958169155396
"6","ENSG00000176920.11","19","CellTypeSpecific","NDA","fibroblast",46,43,0.161058864593536,0.872047038500302,0.149848706506388,0.880883980925759,0.876615549733423
"7","ENSG00000183779.6","8","CellTypeSpecific","NDA","fibroblast",36,36,11.229473190476,2.92215589937572e-29,9.00526168117997,2.15152094046209e-19,5.84431179795767e-29
"8","ENSG00000257800.1","2","CellTypeSpecific","NDA","fibroblast",31,27,-0.336045958089954,0.736836210058616,0.396724823188062,0.69157039294235,0.715490303625631
"9","ENSG00000277147.4","1","CellTypeSpecific","NDA","fibroblast",34,9,1.23124432234876,0.218231498940615,1.17484365030465,0.240057273110462,0.22871737142701
"10","ENSG00000084676.15","2","NonSpecific","NDA","fibroblast",29,27,1.93948635803952,0.0524421440707331,1.93948635803952,0.0524421440707331,0.0524421440707331
"11","ENSG00000103199.13","16","NonSpecific","NDA","fibroblast",53,47,1.95916058469291,0.0500939834856015,1.95916058469291,0.0500939834856015,0.0500939834856015
"12","ENSG00000149054.15","11","NonSpecific","NDA","fibroblast",53,50,0.304770312487089,0.760541093693609,0.304770312487089,0.760541093693609,0.760541093693609
"13","ENSG00000165269.12","9","NonSpecific","NDA","fibroblast",28,24,1.16165402286888,0.245376028570487,1.16165402286888,0.245376028570487,0.245376028570487
"14","ENSG00000166333.13","11","NonSpecific","NDA","fibroblast",36,36,-0.828248472845357,0.407529797450486,-0.828248472845357,0.407529797450486,0.407529797450486
"15","ENSG00000198914.3","2","NonSpecific","NDA","fibroblast",25,24,-2.97513186135039,0.00292862631069021,-2.97513186135039,0.00292862631069021,0.00292862631069024
"16","ENSG00000224397.5","20","NonSpecific","NDA","fibroblast",41,38,0.31098935879592,0.755808711264806,0.31098935879592,0.755808711264806,0.755808711264806
"17","ENSG00000226445.1","6","NonSpecific","NDA","fibroblast",30,28,-3.18331120776872,0.00145601029132847,-3.18331120776872,0.00145601029132847,0.00145601029132852
"18","ENSG00000232871.8","19","NonSpecific","NDA","fibroblast",44,44,-1.81409275349441,0.069663447022805,-1.81409275349441,0.069663447022805,0.069663447022805
"19","ENSG00000236036.1","13","NonSpecific","NDA","fibroblast",6,5,4.53592843668621,5.73506259060455e-06,4.53592843668621,5.73506259060455e-06,5.73506259059567e-06
