"","gene_id","chr","type","phenotype","celltype","MiXcan_snp_num","filtered_snp_num","Z_1_join","p_1_join","Z_2_join","p_2_join","p_join"
"1","ENSG00000048707.13","1","CellTypeSpecific","PMD","fibroblast",33,29,-0.508182802152633,0.611325150507304,-0.80956536494849,0.418190020902995,0.516204760146794
"2","ENSG00000092607.13","1","CellTypeSpecific","PMD","fibroblast",33,30,0.32391778183748,0.746000281222003,0.50103157952582,0.616348898109138,0.689858432094138
"3","ENSG00000110092.3","11","CellTypeSpecific","PMD","fibroblast",44,42,1.23826885621737,0.215616387615427,1.07603580719476,0.281911242610967,0.245259904923197
"4","ENSG00000142233.11","19","CellTypeSpecific","PMD","fibroblast",55,55,-3.49516728205462,0.00047376472313287,-2.48342185777329,0.0130126880950064,0.000914259776845239
"5","ENSG00000159164.9","1","CellTypeSpecific","PMD","fibroblast",20,10,0.917154156826682,0.359061865413639,-4.65421923182726,3.25210643250395e-06,6.50418135495656e-06
"6","ENSG00000176920.11","19","CellTypeSpecific","PMD","fibroblast",46,43,3.20417514010577,0.00135450052686944,3.70573381887949,0.00021077957532577,0.000364792459319286
"7","ENSG00000183779.6","8","CellTypeSpecific","PMD","fibroblast",36,36,-5.14686037507636,2.64882332852073e-07,-5.24520345271427,1.56109963508219e-07,1.96444313506159e-07
"8","ENSG00000257800.1","2","CellTypeSpecific","PMD","fibroblast",31,27,0.117830922933383,0.906201627260401,-0.22527157190294,0.821768013645413,0.876420124204278
"9","ENSG00000277147.4","1","CellTypeSpecific","PMD","fibroblast",34,9,-1.25655698572546,0.208914098770014,-1.1761253961424,0.239544770858712,0.223361067838679
"10","ENSG00000084676.15","2","NonSpecific","PMD","fibroblast",29,27,-0.769235308540316,0.441753633164253,-0.769235308540316,0.441753633164253,0.441753633164253
"11","ENSG00000103199.13","16","NonSpecific","PMD","fibroblast",53,47,0.423772938145793,0.671731415938791,0.423772938145793,0.671731415938791,0.671731415938791
"12","ENSG00000149054.15","11","NonSpecific","PMD","fibroblast",53,50,-0.17992479301926,0.857211610813161,-0.17992479301926,0.857211610813161,0.857211610813161
"13","ENSG00000165269.12","9","NonSpecific","PMD","fibroblast",28,24,-2.05816241600307,0.039574545102687,-2.05816241600307,0.039574545102687,0.039574545102687
"14","ENSG00000166333.13","11","NonSpecific","PMD","fibroblast",36,36,0.891094890193826,0.372878265993156,0.891094890193826,0.372878265993156,0.372878265993156
"15","ENSG00000198914.3","2","NonSpecific","PMD","fibroblast",25,24,4.00846941607673,6.11135514889193e-05,4.00846941607673,6.11135514889193e-05,6.11135514889463e-05
"16","ENSG00000224397.5","20","NonSpecific","PMD","fibroblast",41,38,-3.93232699530397,8.41275222224478e-05,-3.93232699530397,8.41275222224478e-05,8.41275222224458e-05
"17","ENSG00000226445.1","6","NonSpecific","PMD","fibroblast",30,28,0.290946324469117,0.771092371245617,0.290946324469117,0.771092371245617,0.771092371245617
"18","ENSG00000232871.8","19","NonSpecific","PMD","fibroblast",44,44,-5.44479453797779,5.18652168335316e-08,-5.44479453797779,5.18652168335316e-08,5.18652168613753e-08
"19","ENSG00000236036.1","13","NonSpecific","PMD","fibroblast",6,5,-2.93541699069906,0.00333099721508293,-2.93541699069906,0.00333099721508293,0.00333099721508298
