"","gene_id","chr","type","celltype","MiXcan_snp_num","filtered_snp_num","Z_1_join","p_1_join","Z_2_join","p_2_join","p_join"
"1","ENSG00000048707.13",1,"CellTypeSpecific","adipose",52,43,0.449398395903592,0.65314428826801,1.45708316673034,0.145093424411693,0.293371260951049
"2","ENSG00000084676.15",2,"CellTypeSpecific","adipose",60,56,-3.761241538872,0.00016907206617868,-3.64210587295936,0.000270416806581762,0.000208059550162103
"3","ENSG00000134917.9",11,"CellTypeSpecific","adipose",13,12,0.836170175367375,0.40305917427586,0.510255363864465,0.60987256967068,0.507199395775889
"4","ENSG00000142233.11",19,"CellTypeSpecific","adipose",47,47,-0.384738365406852,0.700431267601764,0.992548787848634,0.320929892494779,0.515598317217884
"5","ENSG00000149054.15",11,"CellTypeSpecific","adipose",59,54,-1.40433588244002,0.160218853978511,2.17578838014053,0.0295710879554536,0.0503065297705645
"6","ENSG00000198914.3",2,"CellTypeSpecific","adipose",30,29,-0.579773723477538,0.562067219619632,-0.376388429478535,0.706628146605868,0.641977551564584
"7","ENSG00000236036.1",13,"CellTypeSpecific","adipose",7,6,-1.62460724367455,0.104246272697177,-0.909740242068587,0.362959516094888,0.169140851981852
"8","ENSG00000257800.1",2,"CellTypeSpecific","adipose",42,40,-2.02817338765043,0.0425425549763463,1.54533022383705,0.122266408425311,0.0633784312101557
"9","ENSG00000092607.13",1,"NonSpecific","adipose",33,30,-1.54086226090485,0.12335031246458,-1.54086226090485,0.12335031246458,0.12335031246458
"10","ENSG00000103199.13",16,"NonSpecific","adipose",55,48,-0.291794420583945,0.770443811424241,-0.291794420583945,0.770443811424241,0.770443811424241
"11","ENSG00000110092.3",11,"NonSpecific","adipose",27,25,0.685159671977083,0.493243168874774,0.685159671977083,0.493243168874774,0.493243168874774
"12","ENSG00000159164.9",1,"NonSpecific","adipose",26,13,2.09806086900713,0.0358997687142401,2.09806086900713,0.0358997687142401,0.0358997687142401
"13","ENSG00000165269.12",9,"NonSpecific","adipose",28,25,0.285313320757898,0.775404108319963,0.285313320757898,0.775404108319963,0.775404108319963
"14","ENSG00000166333.13",11,"NonSpecific","adipose",18,15,0.168971342812973,0.865819182375748,0.168971342812973,0.865819182375748,0.865819182375748
"15","ENSG00000224397.5",20,"NonSpecific","adipose",37,35,-1.84722905621964,0.0647139499085836,-1.84722905621964,0.0647139499085836,0.0647139499085836
"16","ENSG00000226445.1",6,"NonSpecific","adipose",28,26,4.97949002638957,6.37520380628281e-07,4.97949002638957,6.37520380628281e-07,6.37520380672068e-07
"17","ENSG00000232871.8",19,"NonSpecific","adipose",37,37,4.20012557932778,2.66766978735899e-05,4.20012557932778,2.66766978735899e-05,2.66766978736367e-05
"18","ENSG00000277147.4",1,"NonSpecific","adipose",22,8,2.06094259236562,0.0393085172328598,2.06094259236562,0.0393085172328598,0.0393085172328598
"19","ENSG00000048707.13",1,"CellTypeSpecific","fibroblast",33,28,1.65198779351311,0.0985370392336063,1.21252105533703,0.225312987762572,0.13871819261014
"20","ENSG00000092607.13",1,"CellTypeSpecific","fibroblast",33,30,0.958721459757851,0.337699084653491,-2.05021151364504,0.0403437949303787,0.074344352261971
"21","ENSG00000110092.3",11,"CellTypeSpecific","fibroblast",44,42,1.52771450932665,0.126583436090899,0.0658199312258361,0.94752118782041,0.839696697693543
"22","ENSG00000142233.11",19,"CellTypeSpecific","fibroblast",55,55,1.36249434498952,0.173041927605024,0.931842355270722,0.351418001884861,0.237870663084947
"23","ENSG00000159164.9",1,"CellTypeSpecific","fibroblast",20,10,-1.38985633204694,0.164572508152162,2.9549728684591,0.00312696548656844,0.00614714959544608
