"","gene_id","chr","type","celltype","MiXcan_snp_num","filtered_snp_num","Z_1_join","p_1_join","Z_2_join","p_2_join","p_join"
"1","ENSG00000048707.13","1","NonSpecific","predixcan",4,4,1.14017812228343,0.254212100141408,1.14017812228343,0.254212100141408,0.254212100141408
"2","ENSG00000084676.15","2","NonSpecific","predixcan",8,8,-3.15265851409312,0.00161790952826935,-3.15265851409312,0.00161790952826935,0.00161790952826936
"3","ENSG00000092607.13","1","NonSpecific","predixcan",6,4,-1.22462487547474,0.22071659098181,-1.22462487547474,0.22071659098181,0.22071659098181
"4","ENSG00000103199.13","16","NonSpecific","predixcan",9,8,0.313949561607131,0.753559347242749,0.313949561607131,0.753559347242749,0.753559347242749
"5","ENSG00000110092.3","11","NonSpecific","predixcan",11,11,0.790738621028396,0.429096533929788,0.790738621028396,0.429096533929788,0.429096533929788
"6","ENSG00000142233.11","19","NonSpecific","predixcan",12,12,0.790130153838012,0.42945176140989,0.790130153838012,0.42945176140989,0.42945176140989
"7","ENSG00000149054.15","11","NonSpecific","predixcan",16,15,1.10245677742562,0.270263139436703,1.10245677742562,0.270263139436703,0.270263139436703
"8","ENSG00000159164.9","1","NonSpecific","predixcan",7,3,1.80741545375216,0.0706975261976769,1.80741545375216,0.0706975261976769,0.0706975261976769
"9","ENSG00000165269.12","9","NonSpecific","predixcan",6,5,0.246263877916347,0.805477970245596,0.246263877916347,0.805477970245596,0.805477970245596
"10","ENSG00000166333.13","11","NonSpecific","predixcan",1,1,0.0908592225504147,0.92760445181056,0.0908592225504147,0.92760445181056,0.92760445181056
"11","ENSG00000183779.6","8","NonSpecific","predixcan",4,4,6.3263993682608,2.50947824337833e-10,6.3263993682608,2.50947824337833e-10,2.50947833549125e-10
"12","ENSG00000198914.3","2","NonSpecific","predixcan",11,11,-1.90037053999659,0.0573845101787176,-1.90037053999659,0.0573845101787176,0.0573845101787176
"13","ENSG00000224397.5","20","NonSpecific","predixcan",5,5,-1.63415138963262,0.102227066570859,-1.63415138963262,0.102227066570859,0.102227066570859
"14","ENSG00000226445.1","6","NonSpecific","predixcan",5,5,4.81547018384892,1.46853691222492e-06,4.81547018384892,1.46853691222492e-06,1.46853691228557e-06
"15","ENSG00000232871.8","19","NonSpecific","predixcan",17,17,3.94025556632779,8.13948493962956e-05,3.94025556632779,8.13948493962956e-05,8.13948493963231e-05
"16","ENSG00000236036.1","13","NonSpecific","predixcan",3,3,-0.576433807338824,0.56432199882458,-0.576433807338824,0.56432199882458,0.56432199882458
"17","ENSG00000257800.1","2","NonSpecific","predixcan",4,4,-1.67346853242429,0.0942350962793274,-1.67346853242429,0.0942350962793274,0.0942350962793275
"18","ENSG00000277147.4","1","NonSpecific","predixcan",3,1,3.15857311645149,0.00158543533678225,3.15857311645149,0.00158543533678225,0.00158543533678228
