gene_id,chr,type,phenotype,PrediXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
ENSG00000048707.13,1,NonSpecific,DA,4,4,0,0,0.568681579577203,0.569572250760235,0.568681579577203,0.569572250760235,0.569572250760235
ENSG00000084676.15,2,NonSpecific,DA,8,8,0,1,-0.453209516702265,0.650397880329435,-0.453209516702265,0.650397880329435,0.650397880329435
ENSG00000092607.13,1,NonSpecific,DA,6,6,2,1,-1.69097027711109,0.090842479582163,-1.69097027711109,0.090842479582163,0.0908424795821631
ENSG00000103199.13,16,NonSpecific,DA,9,9,1,0,-1.15902128451976,0.246447509260169,-1.15902128451976,0.246447509260169,0.246447509260169
ENSG00000110092.3,11,NonSpecific,DA,11,11,0,2,-2.1622136793536,0.0306017096233166,-2.1622136793536,0.0306017096233166,0.0306017096233166
ENSG00000142233.11,19,NonSpecific,DA,12,12,0,2,3.75034806493669,0.000176589278136736,3.75034806493669,0.000176589278136736,0.000176589278136777
ENSG00000149054.15,11,NonSpecific,DA,16,16,1,1,-0.66732900579422,0.504562002710902,-0.66732900579422,0.504562002710902,0.504562002710902
ENSG00000159164.9,1,NonSpecific,DA,7,3,0,1,4.62263643750277,3.78893443435152e-06,4.62263643750277,3.78893443435152e-06,3.78893443437807e-06
ENSG00000165269.12,9,NonSpecific,DA,6,5,0,2,0.909657302650831,0.363003268349866,0.909657302650831,0.363003268349866,0.363003268349866
ENSG00000166333.13,11,NonSpecific,DA,1,1,0,0,0.147,0.883132020320442,0.147,0.883132020320442,0.883132020320442
ENSG00000183779.6,8,NonSpecific,DA,4,4,0,0,1.22207905870792,0.221677731454026,1.22207905870792,0.221677731454026,0.221677731454026
ENSG00000198914.3,2,NonSpecific,DA,11,11,0,0,-3.05588752634821,0.00224395414403458,-3.05588752634821,0.00224395414403458,0.00224395414403459
ENSG00000224397.5,20,NonSpecific,DA,5,5,0,2,4.75452782358815,1.98910747897452e-06,4.75452782358815,1.98910747897452e-06,1.98910747897936e-06
ENSG00000226445.1,6,NonSpecific,DA,5,5,0,0,1.6287073465243,0.103374986802624,1.6287073465243,0.103374986802624,0.103374986802624
ENSG00000232871.8,19,NonSpecific,DA,17,17,0,2,6.03569408212703,1.58280862282371e-09,6.03569408212703,1.58280862282371e-09,1.58280864036162e-09
ENSG00000236036.1,13,NonSpecific,DA,3,3,0,1,0.788418215217598,0.430452119630682,0.788418215217598,0.430452119630682,0.430452119630682
ENSG00000257800.1,2,NonSpecific,DA,4,4,0,2,0.0463373301743936,0.963041386074756,0.0463373301743936,0.963041386074756,0.963041386074756
ENSG00000277147.4,1,NonSpecific,DA,3,1,0,1,0.369,0.712127724773266,0.369,0.712127724773266,0.712127724773266
ENSG00000048707.13,1,NonSpecific,NDA,4,4,0,0,-0.437723697235975,0.661586589065116,-0.437723697235975,0.661586589065116,0.661586589065116
ENSG00000084676.15,2,NonSpecific,NDA,8,8,0,1,-1.40328376650628,0.160532237036867,-1.40328376650628,0.160532237036867,0.160532237036867
ENSG00000092607.13,1,NonSpecific,NDA,6,6,2,1,0.770299532833091,0.441122233441946,0.770299532833091,0.441122233441946,0.441122233441946
ENSG00000103199.13,16,NonSpecific,NDA,9,9,1,0,-2.33114860349956,0.0197455251853665,-2.33114860349956,0.0197455251853665,0.0197455251853666
ENSG00000110092.3,11,NonSpecific,NDA,11,11,0,2,1.6027425382371,0.108991507816679,1.6027425382371,0.108991507816679,0.108991507816679
ENSG00000142233.11,19,NonSpecific,NDA,12,12,0,2,0.671255356833131,0.502057869160829,0.671255356833131,0.502057869160829,0.502057869160829
ENSG00000149054.15,11,NonSpecific,NDA,16,16,1,1,-1.00145395310171,0.316607391213037,-1.00145395310171,0.316607391213037,0.316607391213037
ENSG00000159164.9,1,NonSpecific,NDA,7,3,0,1,-0.889556962495196,0.373703824089738,-0.889556962495196,0.373703824089738,0.373703824089738
ENSG00000165269.12,9,NonSpecific,NDA,6,5,0,2,-1.2491918785041,0.211594901757086,-1.2491918785041,0.211594901757086,0.211594901757086
ENSG00000166333.13,11,NonSpecific,NDA,1,1,0,0,0.662,0.507971221690227,0.662,0.507971221690227,0.507971221690227
ENSG00000183779.6,8,NonSpecific,NDA,4,4,0,0,-5.93723911473703,2.89861766030881e-09,-5.93723911473703,2.89861766030881e-09,2.89861768244972e-09
ENSG00000198914.3,2,NonSpecific,NDA,11,11,0,0,3.12885397261974,0.0017548949754443,3.12885397261974,0.0017548949754443,0.00175489497544431
ENSG00000224397.5,20,NonSpecific,NDA,5,5,0,2,-0.319960757924288,0.748998078629341,-0.319960757924288,0.748998078629341,0.748998078629341
ENSG00000226445.1,6,NonSpecific,NDA,5,5,0,0,2.90474469789454,0.00367552771079483,2.90474469789454,0.00367552771079483,0.00367552771079486
ENSG00000232871.8,19,NonSpecific,NDA,17,17,0,2,1.80173435876574,0.0715872095879136,1.80173435876574,0.0715872095879136,0.0715872095879137
ENSG00000236036.1,13,NonSpecific,NDA,3,3,0,1,-4.10701004948853,4.00813797164885e-05,-4.10701004948853,4.00813797164885e-05,4.00813797165405e-05
ENSG00000257800.1,2,NonSpecific,NDA,4,4,0,2,-0.981104644177095,0.326541140469678,-0.981104644177095,0.326541140469678,0.326541140469678
ENSG00000277147.4,1,NonSpecific,NDA,3,1,0,1,-0.504,0.614261376983182,-0.504,0.614261376983182,0.614261376983182
ENSG00000048707.13,1,NonSpecific,PMD,4,4,0,0,0.614209627739175,0.539076812073655,0.614209627739175,0.539076812073655,0.539076812073655
ENSG00000084676.15,2,NonSpecific,PMD,8,8,0,1,0.168097831736535,0.866506315103714,0.168097831736535,0.866506315103714,0.866506315103714
ENSG00000092607.13,1,NonSpecific,PMD,6,6,2,1,-1.1772602831777,0.239091634068459,-1.1772602831777,0.239091634068459,0.239091634068459
ENSG00000103199.13,16,NonSpecific,PMD,9,9,1,0,-0.266631817967704,0.789752655030072,-0.266631817967704,0.789752655030072,0.789752655030072
ENSG00000110092.3,11,NonSpecific,PMD,11,11,0,2,-2.81845228119199,0.00482557832553339,-2.81845228119199,0.00482557832553339,0.00482557832553341
ENSG00000142233.11,19,NonSpecific,PMD,12,12,0,2,2.94390048870483,0.00324104190847276,2.94390048870483,0.00324104190847276,0.00324104190847274
ENSG00000149054.15,11,NonSpecific,PMD,16,16,1,1,0.19754382160253,0.843401992319203,0.19754382160253,0.843401992319203,0.843401992319203
ENSG00000159164.9,1,NonSpecific,PMD,7,3,0,1,3.55935079943857,0.000371772668995316,3.55935079943857,0.000371772668995316,0.00037177266899533
ENSG00000165269.12,9,NonSpecific,PMD,6,5,0,2,2.1141715919776,0.0345006142663412,2.1141715919776,0.0345006142663412,0.0345006142663412
ENSG00000166333.13,11,NonSpecific,PMD,1,1,0,0,-0.706,0.480188137451567,-0.706,0.480188137451567,0.480188137451567
ENSG00000183779.6,8,NonSpecific,PMD,4,4,0,0,3.69429999489619,0.000220493364819224,3.69429999489619,0.000220493364819224,0.000220493364819253
