gene_id,chr,type,model_type,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
ENSG00000048707.13,1,CellTypeSpecific,fibroblast,33,28,0,4,1.12531639407672,0.260454985102789,1.2123240891327,0.22538834625037,0.241909906446172
ENSG00000092607.13,1,CellTypeSpecific,fibroblast,33,33,3,5,-0.107930850784434,0.914050544673825,-2.2079411456581,0.0272483761186929,0.0776042068032104
ENSG00000110092.3,11,CellTypeSpecific,fibroblast,44,43,1,5,1.47306005703785,0.140734842526177,-0.23604159645786,0.813400392662864,0.406259691040435
ENSG00000142233.11,19,CellTypeSpecific,fibroblast,55,55,0,7,1.26342888509789,0.206435088870749,0.70584796397399,0.480282690573998,0.307588167446885
ENSG00000159164.9,1,CellTypeSpecific,fibroblast,20,11,1,2,-1.54133876551124,0.123234358801555,3.18898111019119,0.00142775207045474,0.00282437730490727
ENSG00000176920.11,19,CellTypeSpecific,fibroblast,46,45,3,6,-0.574990568397155,0.565297675698224,0.111294029546089,0.91138318972647,0.842504079185338
ENSG00000183779.6,8,CellTypeSpecific,fibroblast,36,36,0,6,10.0766239202147,7.00932043266062e-24,6.58604502932134,4.516968831058e-11,1.40186408653191e-23
ENSG00000257800.1,2,CellTypeSpecific,fibroblast,31,29,2,8,-0.475745985677127,0.634255355228083,0.287299235851094,0.773883207709866,0.715867344842672
ENSG00000277147.4,1,CellTypeSpecific,fibroblast,34,10,0,3,2.70859403326489,0.00675689616225761,2.83455810563834,0.00458891119685501,0.00546579207001891
ENSG00000084676.15,2,NonSpecific,fibroblast,29,29,2,5,-5.11169813212582,3.19275723981557e-07,-5.11169813212582,3.19275723981557e-07,3.19275724015673e-07
ENSG00000103199.13,16,NonSpecific,fibroblast,53,50,3,7,-0.352991075971431,0.724095130798357,-0.352991075971431,0.724095130798357,0.724095130798357
ENSG00000149054.15,11,NonSpecific,fibroblast,53,51,4,1,1.86730616750608,0.0618588446268997,1.86730616750608,0.0618588446268997,0.0618588446268997
ENSG00000165269.12,9,NonSpecific,fibroblast,28,26,1,6,0.31598773308461,0.752011819058193,0.31598773308461,0.752011819058193,0.752011819058193
ENSG00000166333.13,11,NonSpecific,fibroblast,36,33,0,3,0.370291895806338,0.711165011562069,0.370291895806338,0.711165011562069,0.711165011562069
ENSG00000198914.3,2,NonSpecific,fibroblast,25,25,1,1,-1.71250130028679,0.086804325191417,-1.71250130028679,0.086804325191417,0.086804325191417
ENSG00000224397.5,20,NonSpecific,fibroblast,41,41,2,2,-2.09213311989123,0.036426609161409,-2.09213311989123,0.036426609161409,0.0364266091614091
ENSG00000226445.1,6,NonSpecific,fibroblast,30,29,1,3,4.41915421006816,9.90879264089151e-06,4.41915421006816,9.90879264089151e-06,9.9087926409511e-06
ENSG00000232871.8,19,NonSpecific,fibroblast,44,44,0,7,4.13434916362239,3.55961947375692e-05,4.13434916362239,3.55961947375692e-05,3.55961947375791e-05
ENSG00000236036.1,13,NonSpecific,fibroblast,6,5,0,1,-0.784302071028399,0.432862884545879,-0.784302071028399,0.432862884545879,0.432862884545879
