gene_id,chr,type,model_type,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
ENSG00000048707.13,1,NonSpecific,predixcanlike,4,4,0,0,1.2186338167795,0.222983207942918,1.2186338167795,0.222983207942918,0.222983207942919
ENSG00000084676.15,2,NonSpecific,predixcanlike,8,8,0,1,-3.49594305273678,0.00047238950421925,-3.49594305273678,0.00047238950421925,0.000472389504219225
ENSG00000092607.13,1,NonSpecific,predixcanlike,6,6,2,1,-3.18842723065302,0.00143049010089441,-3.18842723065302,0.00143049010089441,0.0014304901008944
ENSG00000103199.13,16,NonSpecific,predixcanlike,9,9,1,0,0.42356345572847,0.671884211539369,0.42356345572847,0.671884211539369,0.671884211539369
ENSG00000110092.3,11,NonSpecific,predixcanlike,11,11,0,2,-0.023614806900573,0.98115986124645,-0.023614806900573,0.98115986124645,0.98115986124645
ENSG00000142233.11,19,NonSpecific,predixcanlike,12,12,0,2,1.03690416863856,0.299780520980179,1.03690416863856,0.299780520980179,0.299780520980179
ENSG00000149054.15,11,NonSpecific,predixcanlike,16,16,1,1,1.90966498774246,0.0561763617353525,1.90966498774246,0.0561763617353525,0.0561763617353525
ENSG00000159164.9,1,NonSpecific,predixcanlike,7,3,0,1,1.46316410696599,0.14342247963332,1.46316410696599,0.14342247963332,0.14342247963332
ENSG00000165269.12,9,NonSpecific,predixcanlike,6,5,0,2,0.333100187981979,0.739058657490318,0.333100187981979,0.739058657490318,0.739058657490318
ENSG00000166333.13,11,NonSpecific,predixcanlike,1,1,0,0,0.0908592225504147,0.92760445181056,0.0908592225504147,0.92760445181056,0.92760445181056
ENSG00000183779.6,8,NonSpecific,predixcanlike,4,4,0,0,5.82185332494699,5.81986149233834e-09,5.82185332494699,5.81986149233834e-09,5.81986152869653e-09
ENSG00000198914.3,2,NonSpecific,predixcanlike,11,11,0,0,-2.02329417610963,0.0430428269834507,-2.02329417610963,0.0430428269834507,0.0430428269834507
ENSG00000224397.5,20,NonSpecific,predixcanlike,5,5,0,2,-1.97960124111486,0.0477483534290826,-1.97960124111486,0.0477483534290826,0.0477483534290826
ENSG00000226445.1,6,NonSpecific,predixcanlike,5,5,0,0,4.37240277869435,1.22886545052621e-05,4.37240277869435,1.22886545052621e-05,1.22886545052449e-05
ENSG00000232871.8,19,NonSpecific,predixcanlike,17,17,0,2,4.26458094785773,2.00277727015823e-05,4.26458094785773,2.00277727015823e-05,2.00277727015907e-05
ENSG00000236036.1,13,NonSpecific,predixcanlike,3,3,0,1,-0.595027765518203,0.551824911466122,-0.595027765518203,0.551824911466122,0.551824911466122
ENSG00000257800.1,2,NonSpecific,predixcanlike,4,4,0,2,-1.59997102826325,0.109605010686527,-1.59997102826325,0.109605010686527,0.109605010686527
ENSG00000277147.4,1,NonSpecific,predixcanlike,3,1,0,1,3.15857311645149,0.00158543533678225,3.15857311645149,0.00158543533678225,0.00158543533678228
