gene_id,chr,type,phenotype,celltype,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
ENSG00000142233.11,19,CellTypeSpecific,DA,epithelial,49,47,0,7,2.77586256789173,0.00550554752401098,1.11380764170182,0.265361717947544,0.0108377417374092
ENSG00000149054.15,11,CellTypeSpecific,DA,epithelial,55,55,5,2,0.12189656974972,0.902980932313044,-0.135938062906594,0.891870244904538,0.897716032897437
ENSG00000183779.6,8,CellTypeSpecific,DA,epithelial,38,38,0,5,1.26098085527699,0.207315744843714,1.29183174558255,0.196415418972053,0.201738685297257
ENSG00000224397.5,20,CellTypeSpecific,DA,epithelial,56,55,2,7,3.10299225728282,0.00191574652385679,0.112403120054729,0.91050378156119,0.00391288734525773
ENSG00000048707.13,1,NonSpecific,DA,epithelial,42,38,0,6,0.771977061823232,0.440128013339205,0.771977061823232,0.440128013339205,0.440128013339205
ENSG00000084676.15,2,NonSpecific,DA,epithelial,37,37,2,6,-0.295842992251785,0.767349988707236,-0.295842992251785,0.767349988707236,0.767349988707236
ENSG00000092607.13,1,NonSpecific,DA,epithelial,34,34,3,4,-1.68196887849211,0.0925748748907327,-1.68196887849211,0.0925748748907327,0.0925748748907327
ENSG00000103199.13,16,NonSpecific,DA,epithelial,58,55,3,8,-1.40811900372756,0.159095834718895,-1.40811900372756,0.159095834718895,0.159095834718895
ENSG00000110092.3,11,NonSpecific,DA,epithelial,28,27,1,2,-2.29634246338991,0.0216563079609691,-2.29634246338991,0.0216563079609691,0.0216563079609692
ENSG00000165269.12,9,NonSpecific,DA,epithelial,33,30,2,6,0.95681589883287,0.338660186041825,0.95681589883287,0.338660186041825,0.338660186041825
ENSG00000166333.13,11,NonSpecific,DA,epithelial,30,29,0,2,-0.0618432155910078,0.950687688265283,-0.0618432155910078,0.950687688265283,0.950687688265283
ENSG00000198914.3,2,NonSpecific,DA,epithelial,25,25,1,1,-3.13298967876555,0.00173035526727473,-3.13298967876555,0.00173035526727473,0.00173035526727473
ENSG00000226445.1,6,NonSpecific,DA,epithelial,28,27,1,3,1.67196422894661,0.0945313760076855,1.67196422894661,0.0945313760076855,0.0945313760076855
ENSG00000232871.8,19,NonSpecific,DA,epithelial,42,42,0,7,6.67023020409933,2.55402486273058e-11,6.67023020409933,2.55402486273058e-11,2.55402269779758e-11
ENSG00000236036.1,13,NonSpecific,DA,epithelial,7,6,0,2,1.02737731264961,0.304242830210175,1.02737731264961,0.304242830210175,0.304242830210175
ENSG00000257800.1,2,NonSpecific,DA,epithelial,22,21,0,6,0.0648366800964214,0.948304036385207,0.0648366800964214,0.948304036385207,0.948304036385207
ENSG00000277147.4,1,NonSpecific,DA,epithelial,17,6,1,2,-1.15181792163891,0.249395901816815,-1.15181792163891,0.249395901816815,0.249395901816815
