gene_id,chr,type,phenotype,celltype,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
ENSG00000142233.11,19,CellTypeSpecific,NDA,epithelial,49,47,0,7,0.00499713873303986,0.99601287675073,0.48120221627546,0.630372785859041,0.9920701102666
ENSG00000149054.15,11,CellTypeSpecific,NDA,epithelial,55,55,5,2,0.828234969649833,0.407537443146185,-0.992609140253684,0.320900468721991,0.361506386011014
ENSG00000183779.6,8,CellTypeSpecific,NDA,epithelial,38,38,0,5,-7.21261119852861,5.48889735618289e-13,-9.21265641189341,3.18152074943336e-20,6.36304113006212e-20
ENSG00000224397.5,20,CellTypeSpecific,NDA,epithelial,56,55,2,7,-1.07772377543612,0.281157044949259,0.845909975217186,0.397602967303603,0.333365221197225
ENSG00000048707.13,1,NonSpecific,NDA,epithelial,42,38,0,6,-0.44658170068144,0.655177110586466,-0.44658170068144,0.655177110586466,0.655177110586466
ENSG00000084676.15,2,NonSpecific,NDA,epithelial,37,37,2,6,-2.06326634383465,0.0390873298714285,-2.06326634383465,0.0390873298714285,0.0390873298714286
ENSG00000092607.13,1,NonSpecific,NDA,epithelial,34,34,3,4,0.40503487464441,0.68545187618827,0.40503487464441,0.68545187618827,0.68545187618827
ENSG00000103199.13,16,NonSpecific,NDA,epithelial,58,55,3,8,-2.19598794877297,0.0280928059712549,-2.19598794877297,0.0280928059712549,0.028092805971255
ENSG00000110092.3,11,NonSpecific,NDA,epithelial,28,27,1,2,2.4025130935686,0.0162828516314675,2.4025130935686,0.0162828516314675,0.0162828516314676
ENSG00000165269.12,9,NonSpecific,NDA,epithelial,33,30,2,6,-1.18619744206382,0.235544336181061,-1.18619744206382,0.235544336181061,0.235544336181061
ENSG00000166333.13,11,NonSpecific,NDA,epithelial,30,29,0,2,0.95037620622692,0.341921129578705,0.95037620622692,0.341921129578705,0.341921129578705
ENSG00000198914.3,2,NonSpecific,NDA,epithelial,25,25,1,1,2.87920896777273,0.00398674073044091,2.87920896777273,0.00398674073044091,0.00398674073044093
ENSG00000226445.1,6,NonSpecific,NDA,epithelial,28,27,1,3,2.88613102463617,0.00390009754863543,2.88613102463617,0.00390009754863543,0.0039000975486354
ENSG00000232871.8,19,NonSpecific,NDA,epithelial,42,42,0,7,1.87479876552866,0.0608204130935492,1.87479876552866,0.0608204130935492,0.0608204130935492
ENSG00000236036.1,13,NonSpecific,NDA,epithelial,7,6,0,2,-4.98068289048744,6.33602905798959e-07,-4.98068289048744,6.33602905798959e-07,6.33602905818745e-07
ENSG00000257800.1,2,NonSpecific,NDA,epithelial,22,21,0,6,-0.999615698012534,0.317496523259772,-0.999615698012534,0.317496523259772,0.317496523259772
ENSG00000277147.4,1,NonSpecific,NDA,epithelial,17,6,1,2,0.445630613635016,0.655864093111496,0.445630613635016,0.655864093111496,0.655864093111496
