gene_id,chr,type,phenotype,celltype,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
ENSG00000048707.13,1,CellTypeSpecific,PMD,adipose,52,44,1,5,0.208746246041197,0.834646336206171,0.790467098354951,0.429255029691501,0.70713080840151
ENSG00000084676.15,2,CellTypeSpecific,PMD,adipose,60,60,4,10,-0.184414054196657,0.853688645245254,-0.100480573546366,0.919962804841177,0.896180672437485
ENSG00000134917.9,11,CellTypeSpecific,PMD,adipose,13,13,1,0,0.427801422923677,0.668795700889993,0.941347575574972,0.34652676959446,0.510016441646872
ENSG00000142233.11,19,CellTypeSpecific,PMD,adipose,47,47,0,7,2.49088748589243,0.0127424464992004,3.23954969417386,0.0011971860290678,0.00218881009421728
ENSG00000149054.15,11,CellTypeSpecific,PMD,adipose,59,57,4,3,-1.42226170846413,0.154950290575284,1.55769571112934,0.11930539768134,0.134952058817133
ENSG00000198914.3,2,CellTypeSpecific,PMD,adipose,30,30,1,2,-1.00472733629693,0.315028161356375,-1.32180230514696,0.186233990551894,0.23729982541981
ENSG00000236036.1,13,CellTypeSpecific,PMD,adipose,7,6,0,1,6.83430840140052,8.24015847714203e-12,5.98848442152678,2.11805421734686e-09,1.64163930247944e-11
ENSG00000257800.1,2,CellTypeSpecific,PMD,adipose,42,41,1,8,1.49817926842423,0.13408668045398,-1.02399834660718,0.305836055854446,0.190615660678177
ENSG00000092607.13,1,NonSpecific,PMD,adipose,33,33,3,4,-1.10908292435391,0.267394410503133,-1.10908292435391,0.267394410503133,0.267394410503133
ENSG00000103199.13,16,NonSpecific,PMD,adipose,55,52,4,7,-0.641163396666549,0.521416528357693,-0.641163396666549,0.521416528357693,0.521416528357693
ENSG00000110092.3,11,NonSpecific,PMD,adipose,27,26,1,2,-3.11508451644402,0.001838922116919,-3.11508451644402,0.001838922116919,0.00183892211691903
ENSG00000159164.9,1,NonSpecific,PMD,adipose,26,13,1,2,3.5112002798583,0.000446088177796946,3.5112002798583,0.000446088177796946,0.000446088177797004
ENSG00000165269.12,9,NonSpecific,PMD,adipose,28,25,1,6,2.21955830294496,0.0264487653888415,2.21955830294496,0.0264487653888415,0.0264487653888415
ENSG00000166333.13,11,NonSpecific,PMD,adipose,18,17,0,1,-0.801669446215237,0.422744194303526,-0.801669446215237,0.422744194303526,0.422744194303526
ENSG00000224397.5,20,NonSpecific,PMD,adipose,37,36,2,2,4.1163092687348,3.84987638265115e-05,4.1163092687348,3.84987638265115e-05,3.84987638265402e-05
ENSG00000226445.1,6,NonSpecific,PMD,adipose,28,27,1,3,-0.534650431008766,0.592891604007988,-0.534650431008766,0.592891604007988,0.592891604007988
ENSG00000232871.8,19,NonSpecific,PMD,adipose,37,37,0,6,5.86338789879381,4.53517068337445e-09,5.86338789879381,4.53517068337445e-09,4.53517068021691e-09
ENSG00000277147.4,1,NonSpecific,PMD,adipose,22,8,1,2,-0.543407675125679,0.586849142415804,-0.543407675125679,0.586849142415804,0.586849142415804
