gene_id,chr,type,phenotype,celltype,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
ENSG00000142233.11,19,CellTypeSpecific,PMD,epithelial,49,47,0,7,2.62394048975499,0.00869189705194264,0.219966984923047,0.825896867187072,0.0181848637306272
ENSG00000149054.15,11,CellTypeSpecific,PMD,epithelial,55,55,5,2,-0.556768427417783,0.577685657974442,0.735338749537178,0.462133214497356,0.520580920680581
ENSG00000183779.6,8,CellTypeSpecific,PMD,epithelial,38,38,0,5,4.43087435621046,9.3851763754886e-06,5.149819295158,2.60737546079289e-07,5.07379161231097e-07
ENSG00000224397.5,20,CellTypeSpecific,PMD,epithelial,56,55,2,7,2.34296990014446,0.0191309264220031,0.366240330462369,0.714185750256361,0.0400253425488124
ENSG00000048707.13,1,NonSpecific,PMD,epithelial,42,38,0,6,0.818148163208607,0.413272590134031,0.818148163208607,0.413272590134031,0.413272590134031
ENSG00000084676.15,2,NonSpecific,PMD,epithelial,37,37,2,6,0.619693864373546,0.535459355939621,0.619693864373546,0.535459355939621,0.535459355939621
ENSG00000092607.13,1,NonSpecific,PMD,epithelial,34,34,3,4,-1.06025996137891,0.289026348983748,-1.06025996137891,0.289026348983748,0.289026348983748
ENSG00000103199.13,16,NonSpecific,PMD,epithelial,58,55,3,8,-0.787885771418197,0.430763524598231,-0.787885771418197,0.430763524598231,0.430763524598231
ENSG00000110092.3,11,NonSpecific,PMD,epithelial,28,27,1,2,-3.15245482164815,0.00161903873245515,-3.15245482164815,0.00161903873245515,0.00161903873245517
ENSG00000165269.12,9,NonSpecific,PMD,epithelial,33,30,2,6,2.16088830430862,0.0307039685733706,2.16088830430862,0.0307039685733706,0.0307039685733706
ENSG00000166333.13,11,NonSpecific,PMD,epithelial,30,29,0,2,-1.01619384412676,0.309537087251353,-1.01619384412676,0.309537087251353,0.309537087251353
ENSG00000198914.3,2,NonSpecific,PMD,epithelial,25,25,1,1,-3.89412036606004,9.8555706545028e-05,-3.89412036606004,9.8555706545028e-05,9.85557065450937e-05
ENSG00000226445.1,6,NonSpecific,PMD,epithelial,28,27,1,3,-0.53246090184489,0.594406814256051,-0.53246090184489,0.594406814256051,0.594406814256051
ENSG00000232871.8,19,NonSpecific,PMD,epithelial,42,42,0,7,5.79831979824023,6.69826266162659e-09,5.79831979824023,6.69826266162659e-09,6.69826266784657e-09
ENSG00000236036.1,13,NonSpecific,PMD,epithelial,7,6,0,2,3.23746146372202,0.00120598226144981,3.23746146372202,0.00120598226144981,0.00120598226144985
ENSG00000257800.1,2,NonSpecific,PMD,epithelial,22,21,0,6,1.22772379163635,0.219550672088474,1.22772379163635,0.219550672088474,0.219550672088474
ENSG00000277147.4,1,NonSpecific,PMD,epithelial,17,6,1,2,-0.606686486973549,0.544058991635523,-0.606686486973549,0.544058991635523,0.544058991635523
