gene_id,chr,type,phenotype,celltype,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
ENSG00000048707.13,1,CellTypeSpecific,PMD,fibroblast,33,29,0,5,0.0412645354871383,0.967085005557438,1.04143691485748,0.297672817422568,0.929626285671959
ENSG00000092607.13,1,CellTypeSpecific,PMD,fibroblast,33,33,3,5,-0.982747662780699,0.325731646277263,-0.82879951893728,0.407217860497208,0.364123499925009
ENSG00000110092.3,11,CellTypeSpecific,PMD,fibroblast,44,43,1,5,-2.0694886088421,0.038500259172587,-1.92081665124654,0.0547548264786559,0.0452204839350401
ENSG00000142233.11,19,CellTypeSpecific,PMD,fibroblast,55,55,0,7,3.00901976608493,0.00262092063750074,2.23821073302985,0.0252073160658755,0.00474883414206845
ENSG00000159164.9,1,CellTypeSpecific,PMD,fibroblast,20,11,1,2,-1.63662580664236,0.101708680001557,4.57390192402314,4.78723997565384e-06,9.57404475820229e-06
ENSG00000176920.11,19,CellTypeSpecific,PMD,fibroblast,46,46,3,6,-4.29865847749586,1.71835013621736e-05,-4.71654444661974,2.39883981705168e-06,4.20996313877463e-06
ENSG00000183779.6,8,CellTypeSpecific,PMD,fibroblast,36,36,0,6,5.54000074531759,3.02470359401869e-08,5.4303314897946,5.62494704856393e-08,3.93398491159084e-08
ENSG00000257800.1,2,CellTypeSpecific,PMD,fibroblast,31,29,2,8,0.150854186265466,0.880090740860512,-0.0191396481712101,0.984729702548851,0.972810099696769
ENSG00000277147.4,1,CellTypeSpecific,PMD,fibroblast,34,9,0,3,1.05489878451432,0.291471618233517,0.976878249137577,0.328629431167187,0.30931214260029
ENSG00000084676.15,2,NonSpecific,PMD,fibroblast,29,29,2,5,0.766128023431398,0.443600130110699,0.766128023431398,0.443600130110699,0.443600130110699
ENSG00000103199.13,16,NonSpecific,PMD,fibroblast,53,50,3,7,-0.598827559436518,0.549287882301553,-0.598827559436518,0.549287882301553,0.549287882301553
ENSG00000149054.15,11,NonSpecific,PMD,fibroblast,53,53,4,1,0.204265672452223,0.838145893812898,0.204265672452223,0.838145893812898,0.838145893812897
ENSG00000165269.12,9,NonSpecific,PMD,fibroblast,28,25,1,6,2.13817253864792,0.0325027423087037,2.13817253864792,0.0325027423087037,0.0325027423087037
ENSG00000166333.13,11,NonSpecific,PMD,fibroblast,36,35,0,3,-0.989479362753271,0.322428662043041,-0.989479362753271,0.322428662043041,0.322428662043041
ENSG00000198914.3,2,NonSpecific,PMD,fibroblast,25,25,1,1,-3.89046166620955,0.00010005368273968,-3.89046166620955,0.00010005368273968,0.000100053682739697
ENSG00000224397.5,20,NonSpecific,PMD,fibroblast,41,40,2,2,4.12819691235354,3.65618956410417e-05,4.12819691235354,3.65618956410417e-05,3.65618956410497e-05
ENSG00000226445.1,6,NonSpecific,PMD,fibroblast,30,29,1,3,-0.529899395235433,0.596181685498273,-0.529899395235433,0.596181685498273,0.596181685498273
ENSG00000232871.8,19,NonSpecific,PMD,fibroblast,44,44,0,7,5.63122303074917,1.78936151952512e-08,5.63122303074917,1.78936151952512e-08,1.78936151957272e-08
ENSG00000236036.1,13,NonSpecific,PMD,fibroblast,6,5,0,1,3.14992194133726,0.00163314091144295,3.14992194133726,0.00163314091144295,0.00163314091144299
