model_type,subtype,gene_id,chr,type,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
adipose,Luminal_A,ENSG00000048707.13,1,CellTypeSpecific,52,43,1,4,-1.76382528981287,0.0777613982683579,3.81313684697793,0.000137214086078474,0.000273954369476153
adipose,Luminal_B,ENSG00000048707.13,1,CellTypeSpecific,52,43,1,4,0.885654587472577,0.375803686565361,-1.14672830623395,0.251493927847316,0.305395348398154
adipose,Luminal_B_HER2Neg,ENSG00000048707.13,1,CellTypeSpecific,52,43,1,4,-0.177585834319423,0.859048250281514,0.6185425625513,0.536217750313593,0.766792674127848
adipose,HER2_Enriched,ENSG00000048707.13,1,CellTypeSpecific,52,43,1,4,-0.330250430191229,0.741210744548094,0.00948844016966424,0.992429433679668,0.985200064143301
adipose,Triple_Neg,ENSG00000048707.13,1,CellTypeSpecific,52,43,1,4,-0.0888354335732526,0.929212697084376,2.99986297407398,0.0027010108691944,0.00561219785186199
adipose,Luminal_A,ENSG00000084676.15,2,CellTypeSpecific,60,60,4,10,-2.65383053701775,0.00795837835306292,-2.5312793377311,0.0113647300485782,0.00936139839554472
adipose,Luminal_B,ENSG00000084676.15,2,CellTypeSpecific,60,60,4,10,-2.7421793497046,0.00610330067588551,-3.88939166877578,0.000100495816026423,0.000197736125445007
adipose,Luminal_B_HER2Neg,ENSG00000084676.15,2,CellTypeSpecific,60,60,4,10,-0.707100285472059,0.479504158588521,-0.332609918684574,0.739428755263237,0.63076798386793
adipose,HER2_Enriched,ENSG00000084676.15,2,CellTypeSpecific,60,60,4,10,-1.52222982046525,0.127951505593218,-1.62928354093414,0.103253008801085,0.114340301462961
adipose,Triple_Neg,ENSG00000084676.15,2,CellTypeSpecific,60,60,4,10,-1.7448497688849,0.0810110229623761,-0.222794129968185,0.823695736802624,0.232917337224996
adipose,Luminal_A,ENSG00000134917.9,11,CellTypeSpecific,13,13,1,0,0.376184128838278,0.706780013676006,0.0999808077953939,0.920359562249583,0.871267553840876
