model_type,subtype,gene_id,chr,type,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
predixcanlike,Luminal_A,ENSG00000048707.13,1,NonSpecific,4,4,0,0,1.33489266800353,0.18191147782502,1.33489266800353,0.18191147782502,0.18191147782502
predixcanlike,Luminal_B,ENSG00000048707.13,1,NonSpecific,4,4,0,0,-0.747511739264005,0.454754719328645,-0.747511739264005,0.454754719328645,0.454754719328645
predixcanlike,Luminal_B_HER2Neg,ENSG00000048707.13,1,NonSpecific,4,4,0,0,0.26546162290738,0.79065387007048,0.26546162290738,0.79065387007048,0.79065387007048
predixcanlike,HER2_Enriched,ENSG00000048707.13,1,NonSpecific,4,4,0,0,-0.25243700551947,0.800703299817575,-0.25243700551947,0.800703299817575,0.800703299817575
predixcanlike,Triple_Neg,ENSG00000048707.13,1,NonSpecific,4,4,0,0,2.65295901188124,0.00797895592272765,2.65295901188124,0.00797895592272765,0.00797895592272762
predixcanlike,Luminal_A,ENSG00000084676.15,2,NonSpecific,8,8,0,1,-2.05493640975886,0.0398851471487598,-2.05493640975886,0.0398851471487598,0.0398851471487597
predixcanlike,Luminal_B,ENSG00000084676.15,2,NonSpecific,8,8,0,1,-3.33281365563518,0.00085972503150567,-3.33281365563518,0.00085972503150567,0.000859725031505654
predixcanlike,Luminal_B_HER2Neg,ENSG00000084676.15,2,NonSpecific,8,8,0,1,-0.565254700795071,0.571900535306517,-0.565254700795071,0.571900535306517,0.571900535306517
predixcanlike,HER2_Enriched,ENSG00000084676.15,2,NonSpecific,8,8,0,1,-1.82933603892134,0.0673492829501667,-1.82933603892134,0.0673492829501667,0.0673492829501667
predixcanlike,Triple_Neg,ENSG00000084676.15,2,NonSpecific,8,8,0,1,0.0230943541829421,0.981575009195944,0.0230943541829421,0.981575009195944,0.981575009195944
predixcanlike,Luminal_A,ENSG00000092607.13,1,NonSpecific,6,6,2,1,-2.09276342164837,0.0363702785839253,-2.09276342164837,0.0363702785839253,0.0363702785839253
predixcanlike,Luminal_B,ENSG00000092607.13,1,NonSpecific,6,6,2,1,-1.46830617410928,0.142021074600827,-1.46830617410928,0.142021074600827,0.142021074600827
predixcanlike,Luminal_B_HER2Neg,ENSG00000092607.13,1,NonSpecific,6,6,2,1,-1.10317391251544,0.269951647939338,-1.10317391251544,0.269951647939338,0.269951647939338
predixcanlike,HER2_Enriched,ENSG00000092607.13,1,NonSpecific,6,6,2,1,-2.48724469743676,0.0128736817135107,-2.48724469743676,0.0128736817135107,0.0128736817135107
predixcanlike,Triple_Neg,ENSG00000092607.13,1,NonSpecific,6,6,2,1,0.998280652420966,0.318143286724592,0.998280652420966,0.318143286724592,0.318143286724593
predixcanlike,Luminal_A,ENSG00000103199.13,16,NonSpecific,9,9,1,0,-0.891013259718813,0.372922056743932,-0.891013259718813,0.372922056743932,0.372922056743932
predixcanlike,Luminal_B,ENSG00000103199.13,16,NonSpecific,9,9,1,0,0.84825847993699,0.396294035255426,0.84825847993699,0.396294035255426,0.396294035255426
predixcanlike,Luminal_B_HER2Neg,ENSG00000103199.13,16,NonSpecific,9,9,1,0,-0.306921789481771,0.758902903405602,-0.306921789481771,0.758902903405602,0.758902903405602
predixcanlike,HER2_Enriched,ENSG00000103199.13,16,NonSpecific,9,9,1,0,-0.28154156262851,0.778295054322081,-0.28154156262851,0.778295054322081,0.778295054322081
predixcanlike,Triple_Neg,ENSG00000103199.13,16,NonSpecific,9,9,1,0,1.05937798543143,0.289427671469653,1.05937798543143,0.289427671469653,0.289427671469653
predixcanlike,Luminal_A,ENSG00000110092.3,11,NonSpecific,11,11,0,2,-2.25282651016038,0.0242700899830846,-2.25282651016038,0.0242700899830846,0.0242700899830846
predixcanlike,Luminal_B,ENSG00000110092.3,11,NonSpecific,11,11,0,2,2.38374503740084,0.0171374710319593,2.38374503740084,0.0171374710319593,0.0171374710319593
predixcanlike,Luminal_B_HER2Neg,ENSG00000110092.3,11,NonSpecific,11,11,0,2,-0.692042705613627,0.488910510482353,-0.692042705613627,0.488910510482353,0.488910510482353
predixcanlike,HER2_Enriched,ENSG00000110092.3,11,NonSpecific,11,11,0,2,-1.42583429598931,0.15391617869889,-1.42583429598931,0.15391617869889,0.15391617869889
predixcanlike,Triple_Neg,ENSG00000110092.3,11,NonSpecific,11,11,0,2,0.448840488175492,0.653546729101001,0.448840488175492,0.653546729101001,0.653546729101001
predixcanlike,Luminal_A,ENSG00000142233.11,19,NonSpecific,12,12,0,2,-0.200396125355013,0.841170789549735,-0.200396125355013,0.841170789549735,0.841170789549735
predixcanlike,Luminal_B,ENSG00000142233.11,19,NonSpecific,12,12,0,2,2.64084299228204,0.00827000349018319,2.64084299228204,0.00827000349018319,0.00827000349018323
predixcanlike,Luminal_B_HER2Neg,ENSG00000142233.11,19,NonSpecific,12,12,0,2,-0.554632651712607,0.579145950652118,-0.554632651712607,0.579145950652118,0.579145950652118
predixcanlike,HER2_Enriched,ENSG00000142233.11,19,NonSpecific,12,12,0,2,-0.193067688181128,0.846905957631658,-0.193067688181128,0.846905957631658,0.846905957631658
predixcanlike,Triple_Neg,ENSG00000142233.11,19,NonSpecific,12,12,0,2,0.180124218283173,0.857055050114822,0.180124218283173,0.857055050114822,0.857055050114822
predixcanlike,Luminal_A,ENSG00000149054.15,11,NonSpecific,16,16,1,1,2.52575492818816,0.0115449986034511,2.52575492818816,0.0115449986034511,0.0115449986034511
predixcanlike,Luminal_B,ENSG00000149054.15,11,NonSpecific,16,16,1,1,-1.6270260970726,0.103731555288244,-1.6270260970726,0.103731555288244,0.103731555288244
predixcanlike,Luminal_B_HER2Neg,ENSG00000149054.15,11,NonSpecific,16,16,1,1,1.82525870151617,0.0679619991659974,1.82525870151617,0.0679619991659974,0.0679619991659973
predixcanlike,HER2_Enriched,ENSG00000149054.15,11,NonSpecific,16,16,1,1,1.07468137354184,0.282517405829905,1.07468137354184,0.282517405829905,0.282517405829905
predixcanlike,Triple_Neg,ENSG00000149054.15,11,NonSpecific,16,16,1,1,-0.579625875404832,0.562166939786176,-0.579625875404832,0.562166939786176,0.562166939786176
predixcanlike,Luminal_A,ENSG00000159164.9,1,NonSpecific,7,3,0,1,0.834323749117294,0.404098572457922,0.834323749117294,0.404098572457922,0.404098572457922
