CHR,BP,SNP,P_nonlog,p_adjusted,CTS,NS
1,27635276,FGR,0.68018412627044,0.986693448675965,0.257425742574257,0.742574257425743
1,196651877,CFH,0.948947990015393,0.997568842811798,0.0198019801980198,0.97029702970297
6,143511689,FUCA2,0.431089178141135,0.958818243561927,0.128712871287129,0.871287128712871
6,41072944,NFYA,0.791080293615081,0.987935363806128,0.485148514851485,0.514851485148515
1,24419290,NIPAL3,0.547653687594739,0.977821303255488,0.485148514851485,0.514851485148515
3,50155044,SEMA3F,0.261075730976114,0.891734355701819,0.366336633663366,0.633663366336634
12,990052,RAD52,0.763367910863878,0.986693448675965,0.465346534653465,0.534653465346535
17,48103356,SNX11,0.737176754883395,0.986693448675965,0.118811881188119,0.881188118811881
2,187565759,TFPI,0.0920108560910193,0.808683252339893,0.0792079207920792,0.920792079207921
8,17413326,MTMR7,0.890134600312388,0.993838485926498,0.178217821782178,0.821782178217822
1,33080995,AK2,0.660039006072289,0.986693448675965,0.188118811881188,0.811881188118812
1,23019447,KDM1A,0.747483531218662,0.986693448675965,0.217821782178218,0.772277227722772
19,35758078,HSPB6,0.22329881620173,0.888034623536241,0.435643564356436,0.554455445544555
7,95596490,PDK4,0.651017593416506,0.986693448675965,0.336633663366337,0.663366336633663
6,110476640,SLC22A16,0.891467932931717,0.993838485926498,0.0396039603960396,0.95049504950495
17,43661953,MEOX1,0.290900249032773,0.909826650892136,0.336633663366337,0.663366336633663
19,2328620,SPPL2B,0.0654173988956839,0.788587632262122,0.326732673267327,0.673267326732673
17,50094736,PDK2,0.284743794285511,0.905928477045573,0.316831683168317,0.683168316831683
7,95478443,ASB4,0.232702679116971,0.888034623536241,0.287128712871287,0.712871287128713
17,47821833,OSBPL7,0.501154238466246,0.969525073251696,0.415841584158416,0.504950495049505
17,32927909,TMEM98,0.422041430987133,0.954726596492383,0.465346534653465,0.534653465346535
11,17476844,ABCC8,0.526236668665258,0.974011250524227,0.207920792079208,0.792079207920792
17,35586898,AP2B1,0.0510146429334888,0.762745865240196,0.099009900990099,0.792079207920792
7,97731907,TAC1,0.279746057797242,0.903744502789954,0.188118811881188,0.811881188118812
17,50546305,SPATA20,0.745863351233069,0.986693448675965,0.376237623762376,0.623762376237624
11,17544415,USH1C,0.770090094159122,0.986693448675965,0.0198019801980198,0.98019801980198
7,38932393,VPS41,0.700209212963463,0.986693448675965,0.138613861386139,0.861386138613861
17,13018186,ELAC2,0.822658765945311,0.988280371049978,0.336633663366337,0.663366336633663
4,16084377,PROM1,0.854610636393684,0.989531179627273,0.455445544554455,0.524752475247525
19,41549517,CEACAM21,0.329390786944354,0.924999906290218,0.376237623762376,0.613861386138614
17,27800498,NOS2,0.447146145530506,0.958818243561927,0.0495049504950495,0.95049504950495
17,28473292,SLC13A2,0.854569732934398,0.989531179627273,0.455445544554455,0.544554455445545
1,112620824,ST7L,0.639028767005514,0.986693448675965,0.158415841584158,0.841584158415842
16,229462,LUC7L,0.161832870869434,0.860563450607116,0.198019801980198,0.801980198019802
16,566994,PIGQ,0.239092658282827,0.888034623536241,0.207920792079208,0.792079207920792
16,1612324,CRAMP1,0.636821327374886,0.986693448675965,0.326732673267327,0.673267326732673
6,170553340,PSMB1,0.788991503296558,0.987906868662706,0.267326732673267,0.732673267326733
1,1724323,CDK11A,0.910557791411856,0.996529538169152,0.267326732673267,0.732673267326733
1,1780456,NADK,0.652051534075586,0.986693448675965,0.198019801980198,0.801980198019802
7,122144279,AASS,0.237287597860125,0.888034623536241,0.306930693069307,0.693069306930693
16,3046680,MMP25,0.158660771284426,0.860563450607116,0,0.841584158415842
17,40061214,MED24,0.284494173195857,0.905928477045573,0.0198019801980198,0.98019801980198
8,56074580,RPS20,0.842319962567681,0.988280371049978,0.495049504950495,0.504950495049505
6,111483228,REV3L,0.895074005926935,0.993838485926498,0.455445544554455,0.544554455445545
1,11047232,MASP2,0.07988685986947,0.788587632262122,0.178217821782178,0.821782178217822
1,231337852,SPRTN,0.422373639220419,0.954726596492383,0.158415841584158,0.841584158415842
3,52410656,PHF7,0.798405611137502,0.988151109474589,0.435643564356436,0.564356435643564
3,52445084,SEMA3G,0.506441940405968,0.969525073251696,0.267326732673267,0.732673267326733
3,52495337,STAB1,0.0602909764989956,0.788587632262122,0.415841584158416,0.554455445544555
6,111873451,FYN,0.0850110224630891,0.798196465179834,0.425742574257426,0.574257425742574
17,15999379,TTC19,0.546141046274941,0.977821303255488,0.366336633663366,0.633663366336634
3,45388505,LARS2,0.224794613883797,0.888034623536241,0.495049504950495,0.504950495049505
19,43670546,PLAUR,0.0395597822084053,0.732251097787649,0.475247524752475,0.524752475247525
19,15449950,WIZ,0.575259227039384,0.982895593611682,0.445544554455446,0.554455445544555
12,91183122,DCN,0.149654782337343,0.858471540554104,0.326732673267327,0.673267326732673
19,46346993,PPP5C,0.260528507162958,0.891734355701819,0.405940594059406,0.594059405940594
2,65056365,CEP68,0.255043271191715,0.890893780830835,0.465346534653465,0.534653465346535
19,35704526,ZBTB32,0.946591965369204,0.997568842811798,0.0297029702970297,0.96039603960396
19,35319260,CD22,0.514996120427055,0.971463393852994,0.247524752475248,0.752475247524752
17,44324869,SLC25A39,0.685690707912688,0.986693448675965,0.257425742574257,0.742574257425743
2,200864743,CLK1,0.880341358883509,0.992410252283863,0.158415841584158,0.841584158415842
14,76826245,ANGEL1,0.538623762918666,0.975001382787721,0.217821782178218,0.782178217821782
5,141966819,RNF14,0.395036263767108,0.952007389511028,0.495049504950495,0.504950495049505
12,31073847,DDX11,0.62162795918912,0.986222137040502,0.297029702970297,0.702970297029703
12,13000272,HEBP1,0.968832876071204,0.997568842811798,0.346534653465347,0.653465346534653
8,143541452,ZC3H3,0.942843048956137,0.997568842811798,0.297029702970297,0.702970297029703
4,41990471,SLC30A9,0.672769057524402,0.986693448675965,0.495049504950495,0.504950495049505
10,99732099,COX15,0.559376770770035,0.980013786406543,0.356435643564356,0.643564356435644
3,52705634,GLT8D1,0.124882421868739,0.85348530038836,0.277227722772277,0.722772277227723
2,118942165,MARCO,0.0718179817115407,0.788587632262122,0.128712871287129,0.871287128712871
11,94492905,MRE11,0.502880110454456,0.969525073251696,0.366336633663366,0.633663366336634
19,32869765,SLC7A9,0.0304117329195761,0.707259550177295,0.198019801980198,0.801980198019802
11,3165769,OSBPL5,0.699610783455927,0.986693448675965,0.346534653465347,0.653465346534653
2,210477681,CPS1,0.418239761355075,0.954726596492383,0.217821782178218,0.782178217821782
19,54953129,NLRP2,0.219652488734143,0.888034623536241,0.485148514851485,0.514851485148515
8,141308304,SLC45A4,0.48281166233038,0.966149377899298,0.306930693069307,0.693069306930693
19,47713342,EHD2,0.237553326393364,0.888034623536241,0.465346534653465,0.534653465346535
22,50530055,TYMP,0.389579512259654,0.949940441823507,0.455445544554455,0.534653465346535
1,32108037,KPNA6,0.007591548050214,0.4861388441094,0.326732673267327,0.673267326732673
2,57907650,VRK2,0.155267202527431,0.858471540554104,0.485148514851485,0.514851485148515
6,133952169,TBPL1,0.98726548315094,0.998152329592111,0.445544554455446,0.554455445544555
8,41896761,ANK1,0.523711096475811,0.974011250524227,0.257425742574257,0.742574257425743
6,33580292,BAK1,0.590099744006198,0.982895593611682,0.405940594059406,0.594059405940594
6,49463377,CENPQ,0.516801110987853,0.971463393852994,0.0594059405940594,0.940594059405941
3,27484419,SLC4A7,0.0627390280789213,0.788587632262122,0.415841584158416,0.584158415841584
2,84905624,TMSB10,0.669545400971241,0.986693448675965,0.356435643564356,0.643564356435644
8,100336217,RNF19A,0.891338531771673,0.993838485926498,0.227722772277228,0.772277227722772
10,73995192,VCL,0.412781269351089,0.954095677143511,0.148514851485149,0.851485148514851
1,244452133,ADSS2,0.310868392135509,0.916078453268489,0.227722772277228,0.772277227722772
8,2045039,MYOM2,0.110522575361416,0.837258795852228,0.118811881188119,0.881188118811881
11,119381725,USP2,0.98030008423707,0.998152329592111,0.148514851485149,0.841584158415842
5,6633290,NSUN2,0.058713823276979,0.788303297140994,0.405940594059406,0.594059405940594
5,154038936,MFAP3,0.676497203912405,0.986693448675965,0.336633663366337,0.663366336633663
19,13764531,MRI1,0.137702718199698,0.85348530038836,0.158415841584158,0.841584158415842
4,25233974,PI4K2B,0.966887163799534,0.997568842811798,0.227722772277228,0.772277227722772
4,13627722,BOD1L1,0.0763715341571747,0.788587632262122,0.118811881188119,0.881188118811881
5,163503113,MAT2B,0.0465886689781394,0.756808095574182,0.445544554455446,0.554455445544555
8,16567489,MSR1,0.347344044476406,0.929716542874817,0.247524752475248,0.752475247524752
16,68737224,CDH1,0.154836523454643,0.858471540554104,0.267326732673267,0.702970297029703
16,67518417,RIPOR1,0.44308143399455,0.958818243561927,0.425742574257426,0.564356435643564
5,169583633,SPDL1,0.926351043231826,0.997568842811798,0.099009900990099,0.900990099009901
1,19312325,SLC66A1,0.339353979546492,0.929159481764704,0.148514851485149,0.851485148514851
17,3636467,CTNS,0.740408902286822,0.986693448675965,0.207920792079208,0.792079207920792
15,78540404,PSMA4,0.620925953025971,0.986222137040502,0.366336633663366,0.633663366336634
1,6624865,THAP3,0.88095849382881,0.992410252283863,0.247524752475248,0.752475247524752
20,50691527,RIPOR3,0.257923632595376,0.891734355701819,0.336633663366337,0.633663366336634
19,46850991,AP2S1,0.816731273115552,0.988280371049978,0.495049504950495,0.504950495049505
1,39883510,TRIT1,0.230508964875118,0.888034623536241,0.495049504950495,0.504950495049505
8,67952117,PREX2,0.627946926578354,0.986693448675965,0.386138613861386,0.613861386138614
15,52709816,ATOSA,0.778551180409066,0.986693448675965,0.485148514851485,0.514851485148515
12,5946231,ANO2,0.237524571401126,0.888034623536241,0.326732673267327,0.673267326732673
12,4538507,FERRY3,0.403811499118667,0.95337022557916,0.0891089108910891,0.910891089108911
3,48089271,MAP4,0.0994698031034689,0.820224003316846,0.287128712871287,0.712871287128713
11,113875569,USP28,0.688313429068953,0.986693448675965,0.376237623762376,0.623762376237624
1,9234774,H6PD,0.964282254611176,0.997568842811798,0.0198019801980198,0.98019801980198
14,59484442,JKAMP,0.199281364306741,0.881261093537384,0.277227722772277,0.722772277227723
7,144355287,ARHGEF5,0.597240659670648,0.982895593611682,0.267326732673267,0.732673267326733
5,180292098,MAPK9,0.13597542375796,0.85348530038836,0.405940594059406,0.594059405940594
16,88651151,CYBA,0.914219260297417,0.997513904790718,0.455445544554455,0.524752475247525
5,176034679,THOC3,0.707004448843401,0.986693448675965,0.445544554455446,0.554455445544555
12,123244013,MPHOSPH9,0.462879155404491,0.962734251292471,0.415841584158416,0.584158415841584
14,89619148,FOXN3,0.904105185590578,0.995650131748173,0.445544554455446,0.524752475247525
3,183428777,MCF2L2,0.5930364289806,0.982895593611682,0.099009900990099,0.891089108910891
4,25377212,ANAPC4,0.78808772932919,0.987592325908473,0.455445544554455,0.544554455445545
1,36155963,TRAPPC3,0.625008975410804,0.986222137040502,0.158415841584158,0.841584158415842
1,235328218,ARID4B,0.665005079203586,0.986693448675965,0.277227722772277,0.722772277227723
1,241677375,OPN3,0.514935147798124,0.971463393852994,0.0891089108910891,0.910891089108911
22,46762616,TBC1D22A,0.33309257062044,0.927939494363857,0.207920792079208,0.792079207920792
11,73376263,RELT,0.311191366458062,0.916078453268489,0.326732673267327,0.673267326732673
14,87993664,GALC,0.944243914896627,0.997568842811798,0.207920792079208,0.792079207920792
6,149317533,TAB2,0.0259643203203554,0.671369041102586,0.297029702970297,0.693069306930693
2,37157064,EIF2AK2,0.220480613582685,0.888034623536241,0.336633663366337,0.663366336633663
17,78841440,USP36,0.965098945397151,0.997568842811798,0.099009900990099,0.900990099009901
1,75796881,MSH4,0.206368847131028,0.884892795656983,0.168316831683168,0.821782178217822
3,128051640,SEC61A1,0.0765944927987772,0.788587632262122,0.495049504950495,0.504950495049505
1,16921949,CROCC,0.106788818550488,0.833309766825964,0.306930693069307,0.693069306930693
1,203626560,ATP2B4,0.267168484453664,0.896432880693629,0.445544554455446,0.554455445544555
16,2911936,FLYWCH1,0.0121883317803502,0.559627253694778,0.435643564356436,0.564356435643564
12,752592,WNK1,0.755487242067604,0.986693448675965,0.188118811881188,0.811881188118812
20,62804834,OGFR,0.263885036783714,0.895512303320344,0.0594059405940594,0.940594059405941
1,26787471,PIGV,0.676218254690782,0.986693448675965,0.257425742574257,0.742574257425743
12,24949458,BCAT1,0.917145536447645,0.997568842811798,0.198019801980198,0.801980198019802
12,47833131,HDAC7,0.0733063252225652,0.788587632262122,0.198019801980198,0.801980198019802
4,155758991,GUCY1B1,0.310484939256136,0.916078453268489,0.267326732673267,0.732673267326733
10,86521814,WAPL,0.169895664626756,0.862438854763679,0.485148514851485,0.514851485148515
12,53006157,EIF4B,0.94373960200522,0.997568842811798,0.0396039603960396,0.96039603960396
19,47609122,BICRA,0.312947331098357,0.916788202197888,0.346534653465347,0.643564356435644
19,55654145,U2AF2,0.784220300871578,0.986693448675965,0.267326732673267,0.732673267326733
19,39391302,MED29,0.261821258088523,0.891734355701819,0.326732673267327,0.673267326732673
2,240435670,GPC1,0.310326063564887,0.916078453268489,0.306930693069307,0.693069306930693
12,26938325,INTS13,0.478802112582074,0.965024469008106,0.257425742574257,0.742574257425743
5,122843438,SNX24,0.562629298557022,0.980013786406543,0.415841584158416,0.584158415841584
6,34792014,BLTP3A,0.270747664453022,0.896950240410628,0.376237623762376,0.623762376237624
1,88684221,PKN2,0.70274951489849,0.986693448675965,0.257425742574257,0.742574257425743
19,984270,WDR18,0.72742334782988,0.986693448675965,0.445544554455446,0.554455445544555
16,75623299,ADAT1,0.826716041629434,0.988280371049978,0.0099009900990099,0.99009900990099
6,37257771,TBC1D22B,0.136400958265351,0.85348530038836,0.485148514851485,0.504950495049505
1,15847863,SPEN,0.766316899713289,0.986693448675965,0.415841584158416,0.584158415841584
1,212414900,PACC1,0.0184586069370267,0.614577689029616,0.138613861386139,0.861386138613861
6,83859642,CYB5R4,0.563645773215148,0.98010966397173,0.346534653465347,0.623762376237624
10,104268872,GSTO2,0.0626901684976062,0.788587632262122,0.425742574257426,0.574257425742574
1,43300992,TIE1,0.0261002665440078,0.671369041102586,0.168316831683168,0.831683168316832
1,42456115,ZMYND12,0.999977419081945,0.999977419081945,0.475247524752475,0.524752475247525
11,30586871,MPPED2,0.291492782024863,0.909826650892136,0.0891089108910891,0.900990099009901
10,121598457,FGFR2,0.219331149526757,0.888034623536241,0.336633663366337,0.663366336633663
5,129094750,ISOC1,0.00117719582596765,0.300283035273914,0.415841584158416,0.584158415841584
5,55535049,PLPP1,0.0858491516012942,0.798196465179834,0.138613861386139,0.861386138613861
17,43483864,DHX8,0.817977663931763,0.988280371049978,0.257425742574257,0.742574257425743
16,4802949,ROGDI,0.477340212167268,0.964660028242082,0.158415841584158,0.841584158415842
17,43006724,IFI35,0.767355453282015,0.986693448675965,0.247524752475248,0.752475247524752
15,99565416,MEF2A,0.232874527792654,0.888034623536241,0.356435643564356,0.643564356435644
13,112690328,ATP11A,0.52725796867646,0.974011250524227,0.435643564356436,0.554455445544555
2,86106154,POLR1A,0.844592509010341,0.988280371049978,0.376237623762376,0.623762376237624
3,48740352,IP6K2,0.993876416753169,0.998333749184462,0.108910891089109,0.891089108910891
2,48768953,STON1-GTF2A1L,0.852031586522202,0.989531179627273,0.0396039603960396,0.96039603960396
5,62306161,KIF2A,0.419078125422512,0.954726596492383,0.376237623762376,0.623762376237624
1,6424669,HES2,0.00807032679035591,0.497381281314351,0.0693069306930693,0.891089108910891
12,14696584,GUCY2C,0.506773489760943,0.969525073251696,0.158415841584158,0.792079207920792
3,150050727,PFN2,0.699899053020506,0.986693448675965,0.227722772277228,0.693069306930693
19,676364,FSTL3,0.521375142872588,0.972139682639385,0.287128712871287,0.702970297029703
17,76726798,JMJD6,0.0970627167421723,0.820224003316846,0.257425742574257,0.742574257425743
7,17940500,SNX13,0.270492125574938,0.896950240410628,0.0495049504950495,0.95049504950495
4,147732062,ARHGAP10,0.947966922233352,0.997568842811798,0.326732673267327,0.673267326732673
19,1652604,TCF3,0.293675257704771,0.912012137809574,0.128712871287129,0.871287128712871
2,12716888,TRIB2,0.114794216843094,0.845353082012937,0.277227722772277,0.722772277227723
19,1592800,MBD3,0.502533718833541,0.969525073251696,0.376237623762376,0.623762376237624
8,144409348,CPSF1,0.156290865264967,0.85941258426838,0.435643564356436,0.564356435643564
2,171522246,CYBRD1,0.987189174776213,0.998152329592111,0.099009900990099,0.900990099009901
17,19215614,EPN2,0.157091245243357,0.860563450607116,0.217821782178218,0.782178217821782
2,127681785,LIMS2,0.144323484013394,0.85348530038836,0.227722772277228,0.772277227722772
2,219434845,SPEG,0.133918752630858,0.85348530038836,0.148514851485149,0.851485148514851
14,67241108,PALS1,0.878590569775561,0.992410252283863,0.188118811881188,0.811881188118812
10,61001439,RHOBTB1,0.161429597081364,0.860563450607116,0.0693069306930693,0.930693069306931
11,63838927,MARK2,0.232302294243947,0.888034623536241,0.306930693069307,0.693069306930693
5,132295314,P4HA2,0.930547527909699,0.997568842811798,0.326732673267327,0.673267326732673
5,172188385,STK10,0.827176572193747,0.988280371049978,0.316831683168317,0.683168316831683
4,5893057,CRMP1,0.0125399654316261,0.563763898621656,0.247524752475248,0.752475247524752
19,16197577,AP1M1,0.478868750535737,0.965024469008106,0.227722772277228,0.772277227722772
19,44643797,PVR,0.353476976638424,0.934203922915513,0.227722772277228,0.772277227722772
19,43580472,XRCC1,0.617603537837648,0.986222137040502,0.198019801980198,0.801980198019802
22,50089878,MOV10L1,0.289771068725455,0.909826650892136,0.366336633663366,0.623762376237624
17,3964463,ATP2A3,0.382500413986257,0.947501908962801,0.405940594059406,0.544554455445545
15,65517703,DPP8,0.0959956615981516,0.820224003316846,0.257425742574257,0.742574257425743
17,1645746,SCARF1,0.89856563224822406,0.994260262843225,0.356435643564356,0.633663366336634
4,48134255,TXK,0.331812455452153,0.926410141853006,0.168316831683168,0.831683168316832
15,66386745,TIPIN,0.292039167283741,0.909976917263444,0.495049504950495,0.504950495049505
11,108121750,ACAT1,0.908592507517754,0.996529538169152,0.435643564356436,0.564356435643564
16,89720983,VPS9D1,0.5199793892751,0.971463393852994,0.0396039603960396,0.96039603960396
14,103385391,MARK3,0.889289280487775,0.993838485926498,0.128712871287129,0.871287128712871
3,171810949,PLD1,0.209170171461207,0.885201889996261,0.118811881188119,0.881188118811881
19,36054880,WDR62,0.508753613064303,0.969888416135478,0.0693069306930693,0.920792079207921
3,197299299,DLG1,0.518473646957408,0.971463393852994,0.376237623762376,0.623762376237624
3,128726121,RAB7A,0.274485568399555,0.897288387709436,0.247524752475248,0.752475247524752
10,100519863,SEC31B,0.979511854686313,0.998152329592111,0.306930693069307,0.693069306930693
16,275939,RGS11,0.74018455082844,0.986693448675965,0.108910891089109,0.891089108910891
12,109116594,ACACB,0.650247079106843,0.986693448675965,0.297029702970297,0.702970297029703
19,41883160,ARHGEF1,0.4204841559342,0.954726596492383,0.148514851485149,0.851485148514851
19,7636990,STXBP2,0.74234047956997,0.986693448675965,0.455445544554455,0.544554455445545
7,117874138,CTTNBP2,0.830909136421121,0.988280371049978,0.257425742574257,0.742574257425743
2,171687408,DYNC1I2,0.750176386346119,0.986693448675965,0.495049504950495,0.504950495049505
10,26438202,APBB1IP,0.463791816798702,0.962734251292471,0.128712871287129,0.871287128712871
19,4182603,SIRT6,0.308172885112623,0.915522263423393,0.188118811881188,0.811881188118812
1,236142504,GPR137B,0.126581479654936,0.85348530038836,0.376237623762376,0.623762376237624
7,73328163,FKBP6,0.364214055805449,0.940544902829427,0.376237623762376,0.613861386138614
18,46920147,PIAS2,0.0219540827795117,0.631626076505344,0.356435643564356,0.643564356435644
1,51878936,NRDC,0.624076077210943,0.986222137040502,0.297029702970297,0.702970297029703
17,77959239,TNRC6C,0.769997093619677,0.986693448675965,0.366336633663366,0.633663366336634
20,34975402,MYH7B,0.225370983639895,0.888034623536241,0.217821782178218,0.782178217821782
2,178194480,OSBPL6,0.58480210152919,0.982895593611682,0.0396039603960396,0.881188118811881
12,47771039,RAPGEF3,0.541085562464421,0.975406315684351,0.227722772277228,0.772277227722772
16,29790718,KIF22,0.244403433724001,0.888034623536241,0.0198019801980198,0.98019801980198
6,131063321,EPB41L2,0.733342290985068,0.986693448675965,0.326732673267327,0.673267326732673
22,50783662,RABL2B,0.573444482595157,0.982895593611682,0.0396039603960396,0.96039603960396
5,114360944,KCNN2,0.463170794279804,0.962734251292471,0.0198019801980198,0.98019801980198
14,73136417,PSEN1,0.0174542451781965,0.614577689029616,0.425742574257426,0.574257425742574
11,133956984,IGSF9B,0.443160652454777,0.958818243561927,0.158415841584158,0.841584158415842
5,88904256,MEF2C,0.963452234939989,0.997568842811798,0.455445544554455,0.544554455445545
19,19821750,ZNF506,0.713513674146143,0.986693448675965,0.346534653465347,0.653465346534653
2,200810593,BZW1,0.974708597318505,0.998152329592111,0.158415841584158,0.841584158415842
2,164843678,COBLL1,0.993007237536941,0.998152329592111,0.356435643564356,0.643564356435644
