CHR,BP,SNP,P_nonlog,p_adjusted,CTS,NS
9,62898087,FAM88B,NA,NA,0.118811881,0.871287129
9,40497849,NA,NA,NA,0.079207921,0.871287129
9,62532336,FAM88F,NA,NA,0,0.881188119
9,62376160,FGF7P6,NA,NA,0.168316832,0.821782178
2,130202311,NA,NA,NA,0.00990099,0.99009901
9,62838371,NA,NA,NA,0.069306931,0.613861386
2,89913981,IGKV1D-33,NA,NA,0,0.99009901
9,41479959,RPL7AP45,NA,NA,0.237623762,0.633663366
9,65878765,AQP7P3,NA,NA,0.01980198,0.891089109
9,41199260,ZNG1F,NA,NA,0.534653465,0.465346535
21,9376644,NA,NA,NA,0.564356436,0.138613861
20,28602663,FRG1CP,NA,NA,0.673267327,0.326732673
2,24491913,NCOA1,6.01e-7,0.007,0.752475248,0.089108911
6,169213253,THBS2-AS1,2.51e-6,0.015,0.366336634,0.633663366
11,69641086,CCND1,5.94e-6,0.018,0.148514851,0.851485149
11,130428992,ADAMTS8,6.01e-6,0.018,0.544554455,0.079207921
16,30123505,MAPK3,1.55243e-4,0.251741407,0.405940594,0.594059406
7,107168960,HBP1,3.58363e-4,0.251741407,0.227722772,0.772277228
17,42683917,CNTNAP1,3.68982e-4,0.251741407,0.108910891,0.891089109
3,53882201,ACTR8,3.32845e-4,0.251741407,0.316831683,0.683168317
12,4273771,CCND2,2.75027e-4,0.251741407,0.326732673,0.663366337
1,118185222,SPAG17,1.99867e-4,0.251741407,0.227722772,0.742574257
3,63863902,THOC7,2.25725e-4,0.251741407,0.237623762,0.762376238
16,29995293,INO80E,1.36273e-4,0.251741407,0.346534653,0.653465347
19,43884050,ZNF404,1.21955e-4,0.251741407,0.178217822,0.821782178
7,31514070,ITPRID1,2.41274e-4,0.251741407,0.118811881,0.881188119
10,77782865,NA,3.68318e-4,0.251741407,0.02970297,0.97029703
3,53065090,SERBP1P3,3.40059e-4,0.251741407,0.188118812,0.762376238
17,63830011,FTSJ3,3.35005e-4,0.251741407,0.881188119,0.118811881
22,42144576,CYP2D7,3.7412e-4,0.251741407,0.930693069,0.069306931
15,92882706,CHASERR,3.92249e-4,0.251741407,0.633663366,0.366336634
19,40751552,ACTMAP,4.41514e-4,0.26919102,0.841584158,0.158415842
22,30266839,OSM,7.89566e-4,0.270985527,0,0.564356436
22,41091785,EP300,5.47807e-4,0.270985527,0.435643564,0.564356436
16,4767623,ZNF500,7.1182e-4,0.270985527,0.148514851,0.762376238
2,147844516,ACVR2A,7.57594e-4,0.270985527,0.237623762,0.752475248
8,63086052,TTPA,5.01711e-4,0.270985527,0.396039604,0.524752475
10,95711778,ENTPD1,5.55781e-4,0.270985527,0.207920792,0.693069307
16,30023269,DOC2A,0.00086669099999999995,0.270985527,0.168316832,0.831683168
17,2303382,SRR,7.42751e-4,0.270985527,0.207920792,0.792079208
12,57216794,NXPH4,8.5138e-4,0.270985527,0.168316832,0.811881188
17,63636600,EEF1DP7,6.58634e-4,0.270985527,0.01980198,0.821782178
12,28186189,NA,5.85778e-4,0.270985527,0.059405941,0.940594059
11,82970583,PRCP,7.71002e-4,0.270985527,0.623762376,0.366336634
8,119165033,MAL2,6.13627e-4,0.270985527,0.851485149,0.118811881
15,84632278,SCAND2P,8.36727e-4,0.270985527,0.683168317,0.316831683
7,138002066,CREB3L2,5.24923e-4,0.270985527,0.673267327,0.326732673
17,4932296,GP1BA,7.76607e-4,0.270985527,0.99009901,0.00990099
5,39520430,LINC02104,8.43399e-4,0.270985527,0.99009901,0.00990099
17,62627399,NA,7.90242e-4,0.270985527,0.693069307,0.306930693
22,45657018,NA,5.53215e-4,0.270985527,0.534653465,0.237623762
6,169388384,LINC02519,9.80113e-4,0.291500005,0.089108911,0.910891089
17,44557458,FZD2,9.62717e-4,0.291500005,0.861386139,0.138613861
5,21882584,HSPD1P1,0.001027134,0.298211273,0.03960396,0.534653465
2,89085786,IGKV3-15,0.001196631,0.331629861,0.04950495,0.95049505
4,140756527,NA,0.001193349,0.331629861,0.722772277,0.277227723
16,89701704,SPATA2L,0.00133942,0.347508217,0.366336634,0.594059406
22,30244932,LIF,0.001314067,0.347508217,0.564356436,0.386138614
19,10928732,TIMM29,0.001307896,0.347508217,0.871287129,0.03960396
17,5020092,KIF1C-AS1,0.001368129,0.347561868,0.03960396,0.752475248
1,211382802,LINC00467,0.001467064,0.356143444,0.306930693,0.693069307
20,32190526,NA,0.001433961,0.356143444,0.198019802,0.801980198
12,55729660,CD63,0.001489529,0.356143444,0.712871287,0.287128713
7,150800533,TMEM176A,0.001543623,0.361979654,0.188118812,0.742574257
16,89680736,CDK10,0.001585301,0.364738943,0.079207921,0.920792079
10,100347123,SCD,0.001702123,0.364978262,0.267326733,0.673267327
8,142403239,TSNARE1,0.001669593,0.364978262,0.356435644,0.643564356
8,37069417,NA,0.001720581,0.364978262,0.435643564,0.504950495
9,36036432,RECK,0.001765927,0.364978262,0.574257426,0.405940594
16,89947924,DEF8,0.001762074,0.364978262,0.554455446,0.415841584
9,16870842,BNC2,0.001730418,0.364978262,0.841584158,0.158415842
5,94618346,SLF1,0.001890398,0.368644071,0.306930693,0.693069307
5,148025682,SPINK5,0.00189745,0.368644071,0.128712871,0.871287129
12,57818703,AVIL,0.00190459,0.368644071,0.02970297,0.97029703
1,153967532,SLC39A1,0.001864742,0.368644071,0.485148515,0.514851485
7,75410321,NSUN5P1,0.001940105,0.369650692,0.386138614,0.613861386
1,3611494,MEGF6,0.001980406,0.371524243,0.683168317,0.287128713
15,22617853,GOLGA8IP,0.002098807,0.381901151,0.01980198,0.940594059
16,4273074,TFAP4,0.002129677,0.381901151,0.831683168,0.168316832
5,141408020,PCDHGB6,0.002100454,0.381901151,0.564356436,0.425742574
2,74465409,MOGS,0.002267292,0.4006863,0.316831683,0.683168317
9,108934115,ELP1,0.002458558,0.428280757,0.445544554,0.554455446
17,21574516,NA,0.002559615,0.43349927,0.079207921,0.851485149
15,40439720,BAHD1,0.002559121,0.43349927,0.861386139,0.099009901
16,23149269,USP31,0.002614822,0.436782653,1,0
17,68601388,FAM20A,0.00276406,0.455472321,0.356435644,0.643564356
4,140756119,TBC1D9,0.002917051,0.456032295,0.306930693,0.584158416
20,32358343,ASXL1,0.002845283,0.456032295,0.207920792,0.792079208
1,119140458,WARS2-AS1,0.002914882,0.456032295,0.366336634,0.633663366
16,4734270,ANKS3,0.002839352,0.456032295,0.574257426,0.425742574
7,75359256,STAG3L1,0.002973389,0.458955739,0.346534653,0.653465347
3,53130461,RFT1,0.003059148,0.46629065200000003,0.316831683,0.683168317
2,227164112,COL4A4,0.003099313,0.466580553,0.03960396,0.831683168
22,42130905,CYP2D6,0.003181063,0.467347941,0.445544554,0.554455446
3,157543245,SLC66A1LP,0.003143686,0.467347941,0.346534653,0.653465347
17,63849291,TCAM1P,0.003247506,0.471429684,0.079207921,0.920792079
1,205084459,TMEM81,0.003310383,0.472286882,0.148514851,0.821782178
11,47767442,FNBP4,0.003330874,0.472286882,0.891089109,0.099009901
19,5720571,LONP1,0.003499577,0.475269712,0.356435644,0.643564356
17,4974359,NA,0.003468989,0.475269712,0.118811881,0.742574257
11,50298451,SEPTIN7P11,0.003546789,0.475269712,0.138613861,0.762376238
22,29388582,AP1B1,0.003429969,0.475269712,0.504950495,0.495049505
22,20483626,KRT18P5,0.003536309,0.475269712,0.98019802,0
12,57767250,CYP27B1,0.003624952,0.477000269,0.376237624,0.623762376
22,30970676,TUG1,0.003637939,0.477000269,0.198019802,0.801980198
19,43967861,ZNF155,0.003764028,0.48828251,0.217821782,0.782178218
11,82899974,DDIAS,0.003812559,0.489371987,0.742574257,0.237623762
5,129094750,ISOC1,0.003916884,0.492396782,0.465346535,0.534653465
9,21812346,TUBB8P1,0.003904701,0.492396782,0.940594059,0.059405941
15,84570794,UBE2Q2P1,0.003961036,0.492866085,0.386138614,0.613861386
12,48442946,OR8T1P,0.004024244,0.49567309,0.059405941,0.762376238
2,96010550,FAHD2CP,0.004466557,0.499680646,0.069306931,0.930693069
12,94282843,NA,0.004459162,0.499680646,0.079207921,0.920792079
19,44718758,CEACAM16-AS1,0.004371179,0.499680646,0,1
3,141487046,RASA2,0.004249772,0.499680646,0.564356436,0.435643564
17,39154393,PLXDC1,0.004441251,0.499680646,0.623762376,0.336633663
1,158999967,IFI16,0.004317344,0.499680646,0.504950495,0.425742574
8,38996868,ADAM9,0.004117063,0.499680646,0.514851485,0.366336634
6,149485060,ZC3H12D,0.004213822,0.499680646,0.613861386,0.376237624
15,51105275,TNFAIP8L3,0.004353291,0.499680646,0.752475248,0.247524752
1,52033389,KTI12,0.004298418,0.499680646,0.564356436,0.168316832
1,246566323,TFB2M,0.004561239,0.501135614,0.267326733,0.693069307
9,128160259,BBLN,0.004585181,0.501135614,0.316831683,0.683168317
22,24555502,SNRPD3,0.004602853,0.501135614,0.930693069,0.069306931
7,75359549,PMS2P2,0.004690879,0.506199783,0.138613861,0.861386139
6,31615183,AIF1,0.004736479,0.506637049,0.316831683,0.683168317
16,30075977,PPP4C,0.004928155,0.510017308,0.00990099,0.99009901
7,120273667,KCND2,0.004935382,0.510017308,0.207920792,0.782178218
20,3204684,DDRGK1,0.004896469,0.510017308,0.207920792,0.792079208
14,106639656,IGHV4-61,0.00484899,0.510017308,0.663366337,0.336633663
3,171810949,PLD1,0.005132747,0.525955558,0.099009901,0.900990099
12,123602098,DDX55,0.005259656,0.526219445,0.108910891,0.891089109
17,81683325,HGS,0.005264784,0.526219445,0.455445545,0.544554455
2,216211403,NA,0.005196947,0.526219445,0.227722772,0.762376238
8,48735310,CLXN,0.005399575,0.533727722,0.227722772,0.772277228
8,100157905,SPAG1,0.005755507,0.533727722,0.306930693,0.683168317
8,18084997,ASAH1,0.006719332,0.533727722,0.00990099,0.99009901
17,59106596,TRIM37,0.006828073,0.533727722,0.396039604,0.603960396
1,43974486,ATP6V0B,0.006109763,0.533727722,0.326732673,0.673267327
1,160343270,COPA,0.006567422,0.533727722,0.316831683,0.683168317
18,45212994,SLC14A2,0.005500768,0.533727722,0.069306931,0.881188119
17,10698374,SCO1,0.005521276,0.533727722,0.297029703,0.702970297
10,69220302,HKDC1,0.005664096,0.533727722,0.237623762,0.762376238
4,5709547,EVC2,0.006693969,0.533727722,0.03960396,0.96039604
12,48328979,H1-7,0.006273446,0.533727722,0.158415842,0.841584158
5,61161226,SMIM15,0.006457107,0.533727722,0.415841584,0.584158416
18,55664786,TCF4,0.006765341,0.533727722,0.00990099,0.99009901
6,150827662,PDCL3P5,0.006744257,0.533727722,0.485148515,0.514851485
1,222589933,TAF1A-AS1,0.005723829,0.533727722,0.118811881,0.881188119
7,153413962,LINC01287,0.00680875,0.533727722,0.03960396,0.722772277
4,105552619,ARHGEF38,0.006296251,0.533727722,0.287128713,0.673267327
