CHR,BP,SNP,P_nonlog,p_adjusted,CTS,NS
1,169662006,FIRRM,0.787017776593444,0.980456857817333,0,1
6,143511689,FUCA2,0.192672323638692,0.854375556296053,0,1
6,41072944,NFYA,0.416978545304803,0.91993900102567,0,1
3,50155044,SEMA3F,0.245906273883092,0.88913921251193,0,1
12,990052,RAD52,0.787257828392718,0.980456857817333,0,1
11,64284668,BAD,0.574628878009421,0.951552010207257,0,1
17,48103356,SNX11,0.134723776678068,0.820125319537132,0,1
7,150800533,TMEM176A,0.00110673593467636,0.349175187390392,0,1
12,8949954,M6PR,0.323003010173349,0.905768810095788,0,1
16,90020042,DBNDD1,0.108311425990588,0.802131374967026,0,1
2,187565759,TFPI,0.879803098484049,0.989602024514639,0,1
8,17413326,MTMR7,0.292938373845421,0.897986950518226,0,1
7,127588344,ARF5,0.61901629944092,0.964861884352216,0,1
17,28357521,POLDIP2,0.0859424024211419,0.793476910701552,0,1
1,33080995,AK2,0.645259425190856,0.970015619046001,0,1
1,23019447,KDM1A,0.122488319573042,0.813175935279845,0,1
3,49940006,RBM6,0.26630987200942,0.893247573030753,0,1
7,95596490,PDK4,0.937745311053901,0.993369823069409,0,1
6,110476640,SLC22A16,0.746039906157414,0.980051035639129,0,1
17,47189421,CDC27,0.8375535248842,0.98384115137052,0,1
16,2858169,PRSS22,0.478114735923638,0.933957611696401,0,1
4,109560204,MCUB,0.769116640214483,0.980319912913549,0,1
17,43661953,MEOX1,0.0687752627540037,0.760287830281628,0,1
17,34980493,LIG3,0.418382600533196,0.921025619433871,0,1
17,48038029,COPZ2,0.355097193429347,0.914072639085118,0,1
2,75710988,GCFC2,0.52889808396211,0.945611031935029,0,1
7,75842601,RHBDD2,0.0692586835635787,0.760287830281628,0,1
11,3379221,ZNF195,0.651118312610437,0.97217179270887,0,1
16,30472657,ITGAL,0.98864851480612,0.999788830916173,0,1
17,50094736,PDK2,0.405077038007767,0.914072639085118,0,1
7,95478443,ASB4,0.418348657818864,0.921025619433871,0,1
19,18588724,REX1BD,0.790403667721381,0.980456857817333,0,1
17,32927909,TMEM98,0.610553037276456,0.963705707162231,0,1
11,17476844,ABCC8,0.691451113627398,0.974896971310542,0,1
17,35586898,AP2B1,0.0436680583796043,0.736986376599425,0,1
7,97731907,TAC1,0.385404683338275,0.914072639085118,0,1
16,3282942,ZNF263,0.582559526137276,0.955650696212407,0,1
17,50546305,SPATA20,0.825712890805438,0.98365596554472,0,1
16,3018484,TNFRSF12A,0.776262791049905,0.980319912913549,0,1
7,97005547,DLX6,0.2098823838354,0.874718216013965,0,1
7,39623482,RALA,0.393369227654508,0.914072639085118,0,1
7,141551304,AGK,0.210027401004277,0.874718216013965,0,1
2,241356242,FARP2,0.295284102283993,0.899491824538988,0,1
11,17544415,USH1C,0.464506386520716,0.930649470093189,0,1
7,38932393,VPS41,0.863959487445631,0.985415398162222,0,1
17,13018186,ELAC2,0.473882152966613,0.932787295114289,0,1
7,12570848,SCIN,0.254789497789845,0.88913921251193,0,1
19,41549517,CEACAM21,0.554354480852844,0.951392832444744,0,1
17,27800498,NOS2,0.126514096416382,0.813175935279845,0,1
17,11598430,DNAH9,0.027038908765884,0.673749025394511,0,1
17,28645453,BLTP2,0.854798736329277,0.984496531380847,0,1
19,3802128,MATK,0.579956888524414,0.955065999105311,0,1
17,63932353,CD79B,0.00692520586092482,0.551975355567608,0,1
1,112620824,ST7L,0.743098744961563,0.980051035639129,0,1
16,76354,RHBDF1,0.466955269185513,0.931092335914764,0,1
16,566994,PIGQ,0.695617464099618,0.975520370373908,0,1
1,171090876,FMO3,0.559755848716934,0.951392832444744,0,1
6,170553340,PSMB1,0.554227147301504,0.951392832444744,0,1
1,1724323,CDK11A,0.909656307488215,0.9914826985321,0,1
1,1780456,NADK,0.699713316612272,0.975560889226254,0,1
7,106112575,SYPL1,0.513298749302637,0.94090492292151,0,1
7,122144279,AASS,0.902121105096126,0.9914826985321,0,1
12,16347141,MGST1,0.10874830405377,0.802131374967026,0,1
16,3046680,MMP25,0.544583231332144,0.951392832444744,0,1
17,40061214,MED24,0.179175920147187,0.851052137961229,0,1
8,22987416,RHOBTB2,0.893075290002921,0.9914826985321,0,1
3,169966734,SEC62,0.0925669288584186,0.793943067511299,0,1
7,157138912,UBE3C,0.211838251646427,0.874718216013965,0,1
6,142147161,VTA1,0.580833607837179,0.955479823539031,0,1
6,36387799,ETV7,0.0611105679982282,0.752405237207454,0,1
1,231337852,SPRTN,0.378764025829177,0.914072639085118,0,1
1,171781663,METTL13,0.967538217613897,0.998320138638603,0,1
12,4562203,DYRK4,0.0290710738019819,0.692151984099622,0,1
3,48610975,UQCRC1,0.497835903201466,0.94090492292151,0,1
7,38178221,STARD3NL,0.750721786005271,0.980319912913549,0,1
3,42702826,HHATL,0.839029715411164,0.98384115137052,0,1
12,6493841,NCAPD2,0.369042957537645,0.914072639085118,0,1
3,52445084,SEMA3G,0.70773978807812,0.977486743374554,0,1
12,6904732,LRRC23,0.758793090752413,0.980319912913549,0,1
6,111873451,FYN,0.619796750825611,0.964861884352216,0,1
12,3077354,TSPAN9,0.91841070501115,0.992069678064095,0,1
17,15999379,TTC19,0.843898066302551,0.983855640465564,0,1
3,45388505,LARS2,0.975139894863765,0.998645910094565,0,1
19,43670546,PLAUR,0.367939217800999,0.914072639085118,0,1
12,91183122,DCN,0.0495657019020712,0.744243263598373,0,1
19,46346993,PPP5C,0.0374431095322547,0.721422965339015,0,1
2,65056365,CEP68,0.386776332366782,0.914072639085118,0,1
19,35704526,ZBTB32,0.053089531227785,0.744243263598373,0,1
19,35319260,CD22,0.61102947107581,0.963705707162231,0,1
14,50561125,MAP4K5,0.314074821039378,0.905768810095788,0,1
4,6575174,MAN2B2,0.695824676737901,0.975520370373908,0,1
3,170586073,SLC7A14,0.375716990805761,0.914072639085118,0,1
3,170418864,CLDN11,0.589023397470604,0.956665405459402,0,1
17,44324869,SLC25A39,0.935579744913076,0.993353094569079,0,1
16,29820393,MVP,0.0449421346826506,0.736986376599425,0,1
6,83193378,RWDD2A,0.374503350998936,0.914072639085118,0,1
14,76826245,ANGEL1,0.962292158900934,0.997991315356414,0,1
5,141966819,RNF14,0.121615793704987,0.813175935279845,0,1
