CHR,BP,SNP,P_nonlog,p_adjusted,CTS,NS
1,169662006,FIRRM,0.409760460561939,0.945315223100008,0.118811881188119,0.762376237623762
1,196651877,CFH,0.956589592579353,0.998757994609502,0.0198019801980198,0.97029702970297
1,24416933,STPG1,0.706934168060985,0.987405408881731,0.0792079207920792,0.801980198019802
6,46129992,ENPP4,0.829785841896339,0.996261637143677,0.198019801980198,0.801980198019802
3,50155044,SEMA3F,0.267297307038653,0.90484736644877,0,1
7,92246233,ANKIB1,0.613667859305244,0.973777834616657,0.207920792079208,0.772277227722772
12,990052,RAD52,0.75839208420216,0.990635305729425,0.316831683168317,0.683168316831683
11,64284668,BAD,0.919142123188044,0.998757994609502,0.237623762376238,0.762376237623762
4,17577191,LAP3,0.729622846558067,0.987827062960625,0.158415841584158,0.742574257425743
7,150800533,TMEM176A,0.0456014949472343,0.756626201812958,0.158415841584158,0.762376237623762
12,8949954,M6PR,0.983210407808117,0.999168016823816,0.188118811881188,0.811881188118812
2,72148037,CYP26B1,0.828253786783986,0.996059851392637,0.0297029702970297,0.772277227722772
16,90020042,DBNDD1,0.55572078577634,0.968841053707031,0.138613861386139,0.861386138613861
2,187565759,TFPI,0.0911017325865149,0.820348531299337,0.366336633663366,0.633663366336634
8,17413326,MTMR7,0.863674770937473,0.998274161643405,0.168316831683168,0.831683168316832
7,127588344,ARF5,0.555127096683648,0.96861911171199,0.336633663366337,0.663366336633663
17,28365115,SARM1,0.793377266340936,0.993965959416665,0.297029702970297,0.603960396039604
17,28357521,POLDIP2,0.192893777521475,0.880504459378534,0.366336633663366,0.633663366336634
3,129606817,PLXND1,0.8042909065583,0.994869294164123,0.148514851485149,0.792079207920792
1,33080995,AK2,0.655627231699097,0.982492636180727,0.326732673267327,0.673267326732673
4,15778274,CD38,0.292200038988612,0.911987369417776,0.376237623762376,0.514851485148515
12,2794952,FKBP4,0.0514317283837147,0.781301197239909,0.178217821782178,0.821782178217822
1,23019447,KDM1A,0.755796028559541,0.990532642865692,0.148514851485149,0.841584158415842
3,49940006,RBM6,0.948697734730534,0.998757994609502,0.237623762376238,0.762376237623762
17,3893043,CAMKK1,0.925274028193729,0.998757994609502,0.217821782178218,0.752475247524752
12,21501668,RECQL,0.78448122671707,0.993965959416665,0.405940594059406,0.584158415841584
19,35774531,ARHGAP33,0.95911217935729,0.999144958604722,0.118811881188119,0.881188118811881
16,23596355,NDUFAB1,0.7399476697159,0.987999644331826,0.356435643564356,0.633663366336634
7,95596490,PDK4,0.6715616624863,0.986278240180561,0.277227722772277,0.722772277227723
6,110476640,SLC22A16,0.888008920860164,0.998757994609502,0.0099009900990099,0.98019801980198
3,50346851,ZMYND10,0.528469343619503,0.968067285484787,0.207920792079208,0.554455445544555
17,43661953,MEOX1,0.278675495092475,0.909160439410105,0.475247524752475,0.524752475247525
16,20806676,REXO5,0.0147751338573037,0.659276662460377,0.346534653465347,0.653465346534653
19,2328620,SPPL2B,0.0709891585399545,0.802152888841984,0.465346534653465,0.534653465346535
17,58280934,MPO,0.36905795894878,0.931848680924575,0.0396039603960396,0.594059405940594
7,95324706,PON1,0.656173241595056,0.982492636180727,0.0792079207920792,0.792079207920792
2,75710988,GCFC2,0.631423549380361,0.979370469857258,0.455445544554455,0.544554455445545
2,74421677,WDR54,0.18484411198245,0.874021461288684,0.346534653465347,0.653465346534653
7,87480434,ABCB4,0.914414287670592,0.998757994609502,0.099009900990099,0.831683168316832
7,105014321,KMT2E,0.537871489125674,0.968067285484787,0.396039603960396,0.514851485148515
7,75842601,RHBDD2,0.0341955552860382,0.725126995801534,0.356435643564356,0.643564356435644
6,82247753,IBTK,0.129565634607979,0.85846119021627,0.326732673267327,0.673267326732673
11,3379221,ZNF195,0.558628644332212,0.968860960062429,0.0792079207920792,0.920792079207921
13,77327049,MYCBP2,0.658499223974222,0.983121245442529,0.366336633663366,0.623762376237624
17,50094736,PDK2,0.303857807893974,0.91343186205275,0.118811881188119,0.881188118811881
17,50055967,ITGA3,0.00484979974605015,0.569728365567264,0.237623762376238,0.712871287128713
7,95478443,ASB4,0.242254803390141,0.895282844016265,0.108910891089109,0.891089108910891
19,18588724,REX1BD,0.981354101043731,0.999168016823816,0.0891089108910891,0.910891089108911
17,32927909,TMEM98,0.415683550371117,0.946662236963572,0.237623762376238,0.762376237623762
11,17476844,ABCC8,0.544091084170645,0.968067285484787,0.287128712871287,0.712871287128713
16,3282942,ZNF263,0.200306022710757,0.882072591914167,0.138613861386139,0.861386138613861
17,50546305,SPATA20,0.752314665598442,0.990422396423254,0.168316831683168,0.831683168316832
7,97005547,DLX6,0.441197678676063,0.949676987893638,0.099009900990099,0.584158415841584
14,70809533,MAP3K9,0.556672565931199,0.968860960062429,0.336633663366337,0.564356435643564
7,39623482,RALA,0.802628735603432,0.994869294164123,0.0693069306930693,0.910891089108911
7,140177034,KDM7A,0.0643860388747814,0.795953128356696,0.267326732673267,0.732673267326733
7,75789895,CCL26,0.697157378299572,0.987295074081507,0.168316831683168,0.643564356435644
11,17544415,USH1C,0.772846282351099,0.99312832437465,0.0396039603960396,0.96039603960396
7,74453789,GTF2IRD1,0.253162929188935,0.899530987038269,0.0495049504950495,0.841584158415842
19,39391194,PAF1,0.930306695375633,0.998757994609502,0.198019801980198,0.801980198019802
4,16084377,PROM1,0.875817232189591,0.998757994609502,0.128712871287129,0.851485148514851
19,17933015,CCDC124,0.350867876878178,0.922719712186964,0.277227722772277,0.712871287128713
17,27800498,NOS2,0.446471930239035,0.951222225184229,0.0198019801980198,0.98019801980198
17,11598430,DNAH9,0.0376197917393151,0.729707507093013,0.0198019801980198,0.940594059405941
17,28645453,BLTP2,0.81585820209831,0.995642549199942,0.445544554455446,0.554455445544555
17,28473292,SLC13A2,0.887958572647997,0.998757994609502,0,1
19,45178236,TRAPPC6A,0.765248124427694,0.991778416757484,0.485148514851485,0.514851485148515
19,3802128,MATK,0.553116314284637,0.96809110517274,0.158415841584158,0.841584158415842
17,63932353,CD79B,0.0427249905654294,0.746299580470919,0.237623762376238,0.742574257425743
1,112620824,ST7L,0.615270403889828,0.973777834616657,0.445544554455446,0.554455445544555
16,76354,RHBDF1,0.620225015398751,0.975307640006134,0.0495049504950495,0.95049504950495
