CHR,BP,SNP,P_nonlog,p_adjusted,CTS,NS
1,27635276,FGR,0.71374032956672,0.985929299605048,0.257425742574257,0.742574257425743
1,196651877,CFH,0.380129149308599,0.963240071931739,0.0198019801980198,0.97029702970297
6,143511689,FUCA2,0.733723416253818,0.987737199947422,0.128712871287129,0.871287128712871
6,41072944,NFYA,0.444413179389799,0.968271635270542,0.485148514851485,0.514851485148515
1,24419290,NIPAL3,0.539186228651292,0.981158917181643,0.485148514851485,0.514851485148515
3,50155044,SEMA3F,0.54058538856916,0.981158917181643,0.366336633663366,0.633663366336634
7,92246233,ANKIB1,0.865957300719009,0.991825978152264,0.386138613861386,0.594059405940594
12,990052,RAD52,0.594745153911134,0.981551349321068,0.465346534653465,0.534653465346535
17,48103356,SNX11,0.440202949327679,0.968271635270542,0.118811881188119,0.881188118811881
7,150800533,TMEM176A,0.908123091489244,0.993054178808819,0.0792079207920792,0.841584158415842
2,72148037,CYP26B1,0.149688171301531,0.881532685548436,0.108910891089109,0.712871287128713
2,201182880,CASP10,0.441376049186525,0.968271635270542,0.425742574257426,0.574257425742574
2,187565759,TFPI,0.0209985263936285,0.712439183277019,0.0792079207920792,0.920792079207921
8,17413326,MTMR7,0.310004463523249,0.948547560164847,0.178217821782178,0.821782178217822
17,28365115,SARM1,0.584181364527929,0.981551349321068,0.366336633663366,0.534653465346535
17,28357521,POLDIP2,0.463035730524628,0.971496882398095,0.475247524752475,0.524752475247525
1,33080995,AK2,0.88705741057851,0.993054178808819,0.188118811881188,0.811881188118812
1,23019447,KDM1A,0.327936089202399,0.949449694160518,0.217821782178218,0.772277227722772
19,35758078,HSPB6,0.700077133689522,0.985150937794093,0.435643564356436,0.554455445544555
7,95596490,PDK4,0.64528737529242,0.982282790430357,0.336633663366337,0.663366336633663
6,110476640,SLC22A16,0.427923041415468,0.967802628649904,0.0396039603960396,0.95049504950495
7,117014887,ST7,3.5520072934369e-4,0.19881909295088,0.445544554455446,0.514851485148515
