CHR,BP,SNP,P_nonlog,p_adjusted,CTS,NS
1,169662006,FIRRM,0.626917129293553,0.972185865990609,0.118811881188119,0.762376237623762
1,196651877,CFH,0.187307925260057,0.849591073938274,0.0198019801980198,0.97029702970297
1,24416933,STPG1,0.161626213270103,0.840903819132345,0.0792079207920792,0.801980198019802
6,46129992,ENPP4,0.544239480728668,0.96200180351148,0.198019801980198,0.801980198019802
3,50155044,SEMA3F,0.209377167227988,0.869723091009512,0,1
7,92246233,ANKIB1,0.354575268223884,0.913138508734442,0.207920792079208,0.772277227722772
12,990052,RAD52,0.8803083548158,0.995876511928715,0.316831683168317,0.683168316831683
11,64284668,BAD,0.583159451835098,0.964200402158092,0.237623762376238,0.762376237623762
4,17577191,LAP3,0.91456856777014806,0.996496834947879,0.158415841584158,0.742574257425743
7,150800533,TMEM176A,0.00148583010343817,0.341117833747401,0.158415841584158,0.762376237623762
12,8949954,M6PR,0.41331930418734403,0.930967727279368,0.188118811881188,0.811881188118812
2,72148037,CYP26B1,0.0174067595953853,0.61177238538448,0.0297029702970297,0.772277227722772
16,90020042,DBNDD1,0.0812726310169307,0.800468153267659,0.138613861386139,0.861386138613861
2,187565759,TFPI,0.936896756701783,0.998290493697601,0.366336633663366,0.633663366336634
8,17413326,MTMR7,0.31241522210176,0.910810201551726,0.168316831683168,0.831683168316832
7,127588344,ARF5,0.543181272228783,0.96200180351148,0.336633663366337,0.663366336633663
17,28365115,SARM1,0.768636114843577,0.987487652378727,0.297029702970297,0.603960396039604
17,28357521,POLDIP2,0.121773199905959,0.810376668862259,0.366336633663366,0.633663366336634
3,129606817,PLXND1,0.431212173919837,0.934840167770884,0.148514851485149,0.792079207920792
1,33080995,AK2,0.847489354757872,0.993954844928462,0.326732673267327,0.673267326732673
4,15778274,CD38,0.69667557170003,0.980537437876274,0.376237623762376,0.514851485148515
12,2794952,FKBP4,0.114578254870624,0.806301490793913,0.178217821782178,0.821782178217822
1,23019447,KDM1A,0.108479722150139,0.806301490793913,0.148514851485149,0.841584158415842
3,49940006,RBM6,0.243298130075418,0.880709928894898,0.237623762376238,0.762376237623762
17,3893043,CAMKK1,0.760488675367298,0.986964512173385,0.217821782178218,0.752475247524752
12,21501668,RECQL,0.716853859843005,0.982920512571558,0.405940594059406,0.584158415841584
19,35774531,ARHGAP33,0.794110751544159,0.989139930181604,0.118811881188119,0.881188118811881
16,23596355,NDUFAB1,0.290916520269055,0.901556983160854,0.356435643564356,0.633663366336634
7,95596490,PDK4,0.893315856379953,0.996445370203974,0.277227722772277,0.722772277227723
6,110476640,SLC22A16,0.783174107546179,0.988461186608377,0.0099009900990099,0.98019801980198
3,50346851,ZMYND10,0.897479729208942,0.996445370203974,0.207920792079208,0.554455445544555
17,43661953,MEOX1,0.0600576132625259,0.7553163151188,0.475247524752475,0.524752475247525
16,20806676,REXO5,0.0566400175161996,0.749368873185642,0.346534653465347,0.653465346534653
19,2328620,SPPL2B,0.307602315818759,0.909705248984878,0.465346534653465,0.534653465346535
17,58280934,MPO,0.315411300501841,0.912506884364181,0.0396039603960396,0.594059405940594
7,95324706,PON1,0.198614665035313,0.863896950822334,0.0792079207920792,0.792079207920792
2,75710988,GCFC2,0.508364086056931,0.952745734362061,0.455445544554455,0.544554455445545
2,74421677,WDR54,0.354336041592321,0.913138508734442,0.346534653465347,0.653465346534653
7,87480434,ABCB4,0.147358895875424,0.833202994343282,0.099009900990099,0.831683168316832
7,105014321,KMT2E,0.431181923155151,0.934840167770884,0.396039603960396,0.514851485148515
7,75842601,RHBDD2,0.059753162735299,0.7553163151188,0.356435643564356,0.643564356435644
6,82247753,IBTK,0.628922001791203,0.972862444941837,0.326732673267327,0.673267326732673
11,3379221,ZNF195,0.746986259565385,0.985771564970371,0.0792079207920792,0.920792079207921
13,77327049,MYCBP2,0.49338031368157,0.947825470321677,0.366336633663366,0.623762376237624
17,50094736,PDK2,0.425590148954385,0.934594653510992,0.118811881188119,0.881188118811881
17,50055967,ITGA3,0.295093200440205,0.903324819023616,0.237623762376238,0.712871287128713
7,95478443,ASB4,0.45108812939323,0.938007813563936,0.108910891089109,0.891089108910891
19,18588724,REX1BD,0.714919506439151,0.982550127148139,0.0891089108910891,0.910891089108911
17,32927909,TMEM98,0.64127790473455,0.974858358191019,0.237623762376238,0.762376237623762
11,17476844,ABCC8,0.656449018907026,0.976224672187901,0.287128712871287,0.712871287128713
16,3282942,ZNF263,0.516556817483767,0.956419741739913,0.138613861386139,0.861386138613861
17,50546305,SPATA20,0.741305442624842,0.98522433650271,0.168316831683168,0.831683168316832
7,97005547,DLX6,0.0789355738994995,0.798269504285332,0.099009900990099,0.584158415841584
14,70809533,MAP3K9,0.184148196120061,0.848687633257738,0.336633663366337,0.564356435643564
7,39623482,RALA,0.521177417129118,0.956693772362007,0.0693069306930693,0.910891089108911
7,140177034,KDM7A,0.689666253926273,0.979509616377122,0.267326732673267,0.732673267326733
7,75789895,CCL26,0.796291224684018,0.989515903701036,0.168316831683168,0.643564356435644
11,17544415,USH1C,0.497461221495269,0.947825470321677,0.0396039603960396,0.96039603960396
7,74453789,GTF2IRD1,0.433564968530247,0.934840167770884,0.0495049504950495,0.841584158415842
