gene_id,chr,type,phenotype,celltype,MiXcan_snp_num,filtered_snp_num,used_indel,used_palindromic,Z_1_join,p_1_join,Z_2_join,p_2_join,p_join
ENSG00000048707.13,1,CellTypeSpecific,NDA,fibroblast,33,29,0,5,-0.462311275812094,0.643858114673995,-0.241932093996237,0.808832781284744,0.745592401687105
ENSG00000092607.13,1,CellTypeSpecific,NDA,fibroblast,33,33,3,5,0.0756444087161635,0.939702004607999,0.549849718457634,0.582422454099253,0.88861980996887
ENSG00000110092.3,11,CellTypeSpecific,NDA,fibroblast,44,43,1,5,1.39353922699526,0.163456791500125,1.51109947521064,0.130763108406993,0.145421745569965
ENSG00000142233.11,19,CellTypeSpecific,NDA,fibroblast,55,55,0,7,-0.154184653378454,0.877464142322519,0.365681385487503,0.714602837740821,0.825151249682348
ENSG00000159164.9,1,CellTypeSpecific,NDA,fibroblast,20,11,1,2,-0.493729122817214,0.62149749482514,-0.962842000927067,0.335626819403186,0.473577034882275
ENSG00000176920.11,19,CellTypeSpecific,NDA,fibroblast,46,46,3,6,0.405685065154802,0.684974017196394,0.425618942663342,0.670385534970883,0.677784188894828
ENSG00000183779.6,8,CellTypeSpecific,NDA,fibroblast,36,36,0,6,-11.5823047248847,5.06653115025012e-31,-9.33833522447194,9.78606521854442e-21,1.01330622999756e-30
ENSG00000257800.1,2,CellTypeSpecific,NDA,fibroblast,31,29,2,8,0.258307552891558,0.796169557654186,-0.346321414868902,0.729101176512761,0.766488741026487
ENSG00000277147.4,1,CellTypeSpecific,NDA,fibroblast,34,9,0,3,-0.96495506890412,0.334567317017591,-0.909641239044483,0.363011742615404,0.348462264608289
ENSG00000084676.15,2,NonSpecific,NDA,fibroblast,29,29,2,5,-2.04495849245846,0.0408589504319539,-2.04495849245846,0.0408589504319539,0.0408589504319539
ENSG00000103199.13,16,NonSpecific,NDA,fibroblast,53,50,3,7,-2.47766052040792,0.0132246906628577,-2.47766052040792,0.0132246906628577,0.0132246906628578
ENSG00000149054.15,11,NonSpecific,NDA,fibroblast,53,53,4,1,-0.688009239004033,0.491446963304091,-0.688009239004033,0.491446963304091,0.491446963304091
ENSG00000165269.12,9,NonSpecific,NDA,fibroblast,28,25,1,6,-1.18585896186029,0.235678002001679,-1.18585896186029,0.235678002001679,0.235678002001679
ENSG00000166333.13,11,NonSpecific,NDA,fibroblast,36,35,0,3,0.921887648257681,0.356587182593511,0.921887648257681,0.356587182593511,0.356587182593511
ENSG00000198914.3,2,NonSpecific,NDA,fibroblast,25,25,1,1,2.86797621411945,0.00413106589412946,2.86797621411945,0.00413106589412946,0.00413106589412952
ENSG00000224397.5,20,NonSpecific,NDA,fibroblast,41,40,2,2,-0.358976179054058,0.719612909564112,-0.358976179054058,0.719612909564112,0.719612909564112
ENSG00000226445.1,6,NonSpecific,NDA,fibroblast,30,29,1,3,2.91196339871434,0.00359164718451946,2.91196339871434,0.00359164718451946,0.00359164718451952
ENSG00000232871.8,19,NonSpecific,NDA,fibroblast,44,44,0,7,1.82288807164467,0.0683203449150734,1.82288807164467,0.0683203449150734,0.0683203449150734
ENSG00000236036.1,13,NonSpecific,NDA,fibroblast,6,5,0,1,-4.86390142476668,1.15094249934151e-06,-4.86390142476668,1.15094249934151e-06,1.15094249939554e-06
